route,count,type
document/{at}/{slug},3434051885,bytes
{at}/{slug}.js,1729087566,bytes
document/{id}@{version},1585880189,bytes
collection/{at}/{slug},961924073,bytes
avatar/{hash},954189500,bytes
d/{id}.js,889639624,bytes
documents/{at},863029330,bytes
{at}/{slug}@{version}.tgz,831400782,bytes
user,742790143,bytes
user/{at},656612312,bytes
d/{id}.tgz,646750333,bytes
d/{id}@{version}.js,628408817,bytes
signup-avatar,535934027,bytes
document/{id},525577712,bytes
d/{id}@{version}.tgz,410594878,bytes
document/{id}@{version}/imports,280626482,bytes
team/{id}/recent-views,181160415,bytes
search,180041729,bytes
user/recent-views,111968290,bytes
schedule/assign,103491590,bytes
documents/public,75833656,bytes
billing/{id}/trial,67571470,bytes
{at}/{slug}@{version}.js,64366562,bytes
thumbnail/assign,62108458,bytes
collection/{at}/{slug}/public,61026630,bytes
user/has-private-or-unlisted-documents,60808508,bytes
documents/{at}.rss,51455237,bytes
explore/public/tutorials,46913265,bytes
team/{id}/stats,44926544,bytes
document/{at}/{slug}/import,35583939,bytes
team/{id}/documents,30461313,bytes
{at}/{slug}@latest.js,28683311,bytes
thumbnail/{id}/hash,27990438,bytes
collections/{at},22287558,bytes
collections/{at}/public,21771781,bytes
documents/public/top,21524129,bytes
user/stats,21427625,bytes
team/{id}/members,20568967,bytes
collection/{at}/{slug}.rss,17615386,bytes
user/documents,17466536,bytes
{at}/{slug}.tgz,15148100,bytes
team/{id}/activity,13440295,bytes
users-exist,12251405,bytes
document/{at}/{slug}@{version},11723793,bytes
document/{id}/fork,11181993,bytes
avatar/{at},10211518,bytes
document/{id}/import,10019590,bytes
document/{id}@{version}/embed,9930767,bytes
documents/public.rss,9654524,bytes
document/{at}/{slug}/forks,8623793,bytes
billing/{id},7499320,bytes
user/setting,6803973,bytes
user/likes,6744329,bytes
user/activity,6518844,bytes
document/{at}/{slug}@{version}/embed,5871942,bytes
document/{id}/history,5786658,bytes
user/analytics/attribute,5370966,bytes
documents/public/trending,5366205,bytes
document/{id}/file,5225740,bytes
user/continue-editing,5154953,bytes
team/{id}/data-connector/token,4365787,bytes
user/{at}/following.json,4058295,bytes
user/{at}/followers.json,3691116,bytes
user/signpost,3596880,bytes
explore/public/featured-creators,3553813,bytes
team/{id}/groups,3503430,bytes
login,3417742,bytes
project/{at}/{slug},3319409,bytes
explore/public/topics,3176749,bytes
{at}/{slug}@paused.js,2717264,bytes
robots.txt,2712980,bytes
signup,2582838,bytes
document/{id}/members,2565033,bytes
document/{at}/{slug}@latest,2494673,bytes
team/{id}/projects,2481630,bytes
document/new,2342382,bytes
cli/deploy/{id}/file,2103280,bytes
team/new,1960839,bytes
team/{id}/avatar,1860029,bytes
document/{id}/importers,1793936,bytes
prompts/assist,1673431,bytes
team/{id}/data-connectors,1645084,bytes
team/{id}/invitations,1525266,bytes
team/{id}/secrets,1494629,bytes
d/{id}@latest.js,1365565,bytes
users-suggest-logins,1356124,bytes
oidc/google,1304900,bytes
document/{id}/live,1254912,bytes
document/{id}/file/delete,1240597,bytes
documents/{id}@{version}/{id}@{version}/ancestry,1166126,bytes
team/{id}/cloud-file/token,1159794,bytes
explore/public/observable-highlights,1056693,bytes
billing/{id}/invoices,980828,bytes
document/{id}/revert,922261,bytes
,891260,bytes
document/{id}/publish,881366,bytes
document/{at}/{slug}/imports,843075,bytes
github/oauth,808382,bytes
document/{id}/data-connector/token/embed,807804,bytes
document/{at}/{slug}/importers,792237,bytes
document/{id}/slug-exists,758446,bytes
document/{id}/trash,704661,bytes
oembed,650667,bytes
otp/invite,648340,bytes
document/{id}/like,640054,bytes
collection/bulk,621613,bytes
document/{id}/roles,592527,bytes
billing/{id}/invoices/upcoming,526882,bytes
explore/public/social-topics,517193,bytes
document/{id}@{version}/download,510035,bytes
users-match,499672,bytes
document/{id}/forks,489145,bytes
otp/redirect,467835,bytes
user/{at}/identity,294096,bytes
document/{id}/{at}/config/embed/import,292522,bytes
document/{id}/slug,290948,bytes
document/{id}/pause,255162,bytes
document/{id}/{at}/colors/embed/import,240344,bytes
team/{id}/invite,214045,bytes
user/tokens,209891,bytes
team/{id}/assist/provider,203954,bytes
collection/{id}/reorder,195355,bytes
document/{at}/{slug}@{version}/import,191562,bytes
logout,186801,bytes
otp/login,165177,bytes
document/{id}/edit,160128,bytes
team/{id}/policies,153672,bytes
user/data-connector/token,137696,bytes
document/{id}/view,126720,bytes
team/{id}/run-quota,124568,bytes
collection/new,124363,bytes
document/{id}/chat/delete,121336,bytes
team/{id}/accept,117347,bytes
document/{id}/subscribe,113036,bytes
user/secrets,108998,bytes
