Country,Combined,Male,Female
1st: Monaco :mc:,53.1,51.7,54.5
2nd: Japan :jp:,47.3,46,48.7
3rd: Germany :de:,47.1,46,48.2
Italy :it:,45.5,44.4,46.5
Greece :gr:,44.5,43.5,45.6
Hong Kong :hk:,44.4,43.5,45
Austria :at:,44,42.8,45.1
Spain :es:,42.7,41.5,43.9
Netherlands :nl:,42.6,41.5,43.6
Finland :fi:,42.5,40.9,44.3
South Korea :kr:,41.8,40.2,43.4
France :fr:,41.4,39.6,43.1
Poland :pl:,40.7,39,42.4
United Kingdom :gb:,40.5,39.3,41.7
Russia :ru:,39.6,36.6,42.5
Norway :no:,39.2,38.4,40
United States :us:,38.1,36.8,39.4
New Zealand :nz:,37.9,37.1,38.8
China :cn:,37.4,36.5,38.4
