id,name,date,value
CAN,Canada,2024-04-11T04:00Z,2412
MEX,Mexico,2024-04-11T04:00Z,309
CAN,Canada,2024-04-11T03:00Z,2065
MEX,Mexico,2024-04-11T03:00Z,341
MEX,Mexico,2024-04-11T02:00Z,245
CAN,Canada,2024-04-11T02:00Z,1862
CAN,Canada,2024-04-11T01:00Z,470
MEX,Mexico,2024-04-11T01:00Z,258
MEX,Mexico,2024-04-11,390
CAN,Canada,2024-04-11,241
CAN,Canada,2024-04-10T23:00Z,66
MEX,Mexico,2024-04-10T23:00Z,472
CAN,Canada,2024-04-10T22:00Z,1049
MEX,Mexico,2024-04-10T22:00Z,429
MEX,Mexico,2024-04-10T21:00Z,412
CAN,Canada,2024-04-10T21:00Z,1317
MEX,Mexico,2024-04-10T20:00Z,423
CAN,Canada,2024-04-10T20:00Z,1837
CAN,Canada,2024-04-10T19:00Z,1745
MEX,Mexico,2024-04-10T19:00Z,436
CAN,Canada,2024-04-10T18:00Z,1679
MEX,Mexico,2024-04-10T18:00Z,392
CAN,Canada,2024-04-10T17:00Z,1353
MEX,Mexico,2024-04-10T17:00Z,321
MEX,Mexico,2024-04-10T16:00Z,166
CAN,Canada,2024-04-10T16:00Z,1685
CAN,Canada,2024-04-10T15:00Z,1001
MEX,Mexico,2024-04-10T15:00Z,130
MEX,Mexico,2024-04-10T14:00Z,135
CAN,Canada,2024-04-10T14:00Z,990
MEX,Mexico,2024-04-10T13:00Z,67
CAN,Canada,2024-04-10T13:00Z,1843
CAN,Canada,2024-04-10T12:00Z,780
MEX,Mexico,2024-04-10T12:00Z,64
MEX,Mexico,2024-04-10T11:00Z,59
CAN,Canada,2024-04-10T11:00Z,1844
MEX,Mexico,2024-04-10T10:00Z,61
CAN,Canada,2024-04-10T10:00Z,2216
CAN,Canada,2024-04-10T09:00Z,1763
MEX,Mexico,2024-04-10T09:00Z,58
MEX,Mexico,2024-04-10T08:00Z,55
CAN,Canada,2024-04-10T08:00Z,2193
CAN,Canada,2024-04-10T07:00Z,2185
MEX,Mexico,2024-04-10T07:00Z,94
CAN,Canada,2024-04-10T06:00Z,2175
MEX,Mexico,2024-04-10T06:00Z,106
MEX,Mexico,2024-04-10T05:00Z,193
CAN,Canada,2024-04-10T05:00Z,1724
MEX,Mexico,2024-04-10T04:00Z,191
CAN,Canada,2024-04-10T04:00Z,1500
CAN,Canada,2024-04-10T03:00Z,1491
MEX,Mexico,2024-04-10T03:00Z,223
MEX,Mexico,2024-04-10T02:00Z,109
CAN,Canada,2024-04-10T02:00Z,493
MEX,Mexico,2024-04-10T01:00Z,198
CAN,Canada,2024-04-10T01:00Z,-1110
CAN,Canada,2024-04-10,-1100
MEX,Mexico,2024-04-10,291
MEX,Mexico,2024-04-09T23:00Z,322
CAN,Canada,2024-04-09T23:00Z,87
CAN,Canada,2024-04-09T22:00Z,825
MEX,Mexico,2024-04-09T22:00Z,389
CAN,Canada,2024-04-09T21:00Z,1233
MEX,Mexico,2024-04-09T21:00Z,382
MEX,Mexico,2024-04-09T20:00Z,384
CAN,Canada,2024-04-09T20:00Z,896
MEX,Mexico,2024-04-09T19:00Z,397
CAN,Canada,2024-04-09T19:00Z,1401
MEX,Mexico,2024-04-09T18:00Z,341
CAN,Canada,2024-04-09T18:00Z,1277
MEX,Mexico,2024-04-09T17:00Z,370
CAN,Canada,2024-04-09T17:00Z,1679
MEX,Mexico,2024-04-09T16:00Z,246
CAN,Canada,2024-04-09T16:00Z,711
MEX,Mexico,2024-04-09T15:00Z,151
CAN,Canada,2024-04-09T15:00Z,777
MEX,Mexico,2024-04-09T14:00Z,113
CAN,Canada,2024-04-09T14:00Z,1144
CAN,Canada,2024-04-09T13:00Z,1258
MEX,Mexico,2024-04-09T13:00Z,64
CAN,Canada,2024-04-09T12:00Z,-119
MEX,Mexico,2024-04-09T12:00Z,67
CAN,Canada,2024-04-09T11:00Z,740
MEX,Mexico,2024-04-09T11:00Z,61
MEX,Mexico,2024-04-09T10:00Z,66
CAN,Canada,2024-04-09T10:00Z,1987
MEX,Mexico,2024-04-09T09:00Z,152
CAN,Canada,2024-04-09T09:00Z,1946
CAN,Canada,2024-04-09T08:00Z,2240
MEX,Mexico,2024-04-09T08:00Z,168
CAN,Canada,2024-04-09T07:00Z,2336
MEX,Mexico,2024-04-09T07:00Z,163
MEX,Mexico,2024-04-09T06:00Z,65
CAN,Canada,2024-04-09T06:00Z,2359
CAN,Canada,2024-04-09T05:00Z,1994
MEX,Mexico,2024-04-09T05:00Z,245
MEX,Mexico,2024-04-09T04:00Z,252
