period,ba,baAbb,value
2024-04-10T11,"Associated Electric Cooperative, Inc.",AECI,1691
2024-04-10T11,California Independent System Operator,CISO,19585
2024-04-10T11,JEA,JEA,
2024-04-10T11,PacifiCorp West,PACW,1857
2024-04-10T11,Idaho Power Company,IPCO,1381
2024-04-10T11,Western Area Power Administration - Upper Great Plains West,WAUW,78
2024-04-10T11,"Duke Energy Florida, Inc.",FPC,4684
2024-04-10T11,Tucson Electric Power,TEPC,1199
2024-04-10T11,Duke Energy Carolinas,DUK,10478
2024-04-10T11,Public Utility District No. 1 of Chelan County,CHPD,189
2024-04-10T11,El Paso Electric Company,EPE,720
2024-04-10T11,"Dominion Energy South Carolina, Inc.",SCEG,2103
2024-04-10T11,Nevada Power Company,NEVP,3233
2024-04-10T11,South Carolina Public Service Authority,SC,2181
2024-04-10T11,ISO New England,ISNE,11917
2024-04-10T11,Imperial Irrigation District,IID,245
2024-04-10T11,"Public Utility District No. 2 of Grant County, Washington",GCPD,712
2024-04-10T11,"Electric Reliability Council of Texas, Inc.",ERCO,39158
2024-04-10T11,Seminole Electric Cooperative,SEC,184
2024-04-10T11,Southwestern Power Administration,SPA,-989978
2024-04-10T11,NorthWestern Corporation,NWMT,1219
2024-04-10T11,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,0
2024-04-10T11,City of Tallahassee,TAL,237
2024-04-10T11,Duke Energy Progress East,CPLE,5622
2024-04-10T11,"Midcontinent Independent System Operator, Inc.",MISO,
2024-04-10T11,Avista Corporation,AVA,1252
2024-04-10T11,"Southern Company Services, Inc. - Trans",SOCO,21580
2024-04-10T11,Gainesville Regional Utilities,GVL,181
2024-04-10T11,Florida Municipal Power Pool,FMPP,1689
2024-04-10T11,Public Service Company of New Mexico,PNM,1462
2024-04-10T11,Balancing Authority of Northern California,BANC,1347
2024-04-10T11,Los Angeles Department of Water and Power,LDWP,218
2024-04-10T11,PacifiCorp East,PACE,4879
2024-04-10T11,"PJM Interconnection, LLC",PJM,77507
2024-04-10T11,Arizona Public Service Company,AZPS,2750
2024-04-10T11,Western Area Power Administration - Desert Southwest Region,WALC,949
2024-04-10T11,Duke Energy Progress West,CPLW,492
2024-04-10T11,Bonneville Power Administration,BPAT,6718
2024-04-10T11,Tampa Electric Company,TEC,1915
2024-04-10T11,Western Area Power Administration - Rocky Mountain Region,WACM,3302
2024-04-10T11,Southwest Power Pool,SWPP,26373
2024-04-10T11,Salt River Project Agricultural Improvement and Power District,SRP,2580
2024-04-10T11,Turlock Irrigation District,TIDC,0
2024-04-10T11,City of Homestead,HST,51
2024-04-10T11,Florida Power & Light Co.,FPL,11723
2024-04-10T11,PUD No. 1 of Douglas County,DOPD,231
2024-04-10T11,Tennessee Valley Authority,TVA,14739
2024-04-10T11,Seattle City Light,SCL,82
2024-04-10T11,"Puget Sound Energy, Inc.",PSEI,2195
2024-04-10T11,Portland General Electric Company,PGE,2055
2024-04-10T11,New York Independent System Operator,NYIS,14425
2024-04-10T11,Public Service Company of Colorado,PSCO,4000
2024-04-10T11,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,448
2024-04-10T10,Duke Energy Progress East,CPLE,5021
2024-04-10T10,PacifiCorp East,PACE,5071
2024-04-10T10,Public Service Company of Colorado,PSCO,3876
2024-04-10T10,City of Tallahassee,TAL,208
2024-04-10T10,El Paso Electric Company,EPE,712
2024-04-10T10,Western Area Power Administration - Upper Great Plains West,WAUW,74
2024-04-10T10,PacifiCorp West,PACW,1870
2024-04-10T10,Arizona Public Service Company,AZPS,2758
2024-04-10T10,Tennessee Valley Authority,TVA,13737
2024-04-10T10,Salt River Project Agricultural Improvement and Power District,SRP,2589
2024-04-10T10,Avista Corporation,AVA,1232
2024-04-10T10,Seminole Electric Cooperative,SEC,164
2024-04-10T10,Public Utility District No. 1 of Chelan County,CHPD,182
2024-04-10T10,Seattle City Light,SCL,842
2024-04-10T10,JEA,JEA,1063
2024-04-10T10,Western Area Power Administration - Rocky Mountain Region,WACM,3250
2024-04-10T10,NorthWestern Corporation,NWMT,1202
2024-04-10T10,Florida Municipal Power Pool,FMPP,1464
2024-04-10T10,New York Independent System Operator,NYIS,13136
2024-04-10T10,Balancing Authority of Northern California,BANC,1361
2024-04-10T10,Gainesville Regional Utilities,GVL,162
2024-04-10T10,Los Angeles Department of Water and Power,LDWP,1583
2024-04-10T10,Bonneville Power Administration,BPAT,5842
2024-04-10T10,ISO New England,ISNE,10930
2024-04-10T10,Southwest Power Pool,SWPP,25270
2024-04-10T10,"Southern Company Services, Inc. - Trans",SOCO,19890
2024-04-10T10,PUD No. 1 of Douglas County,DOPD,220
2024-04-10T10,Idaho Power Company,IPCO,1360
2024-04-10T10,Duke Energy Carolinas,DUK,9459
2024-04-10T10,Public Service Company of New Mexico,PNM,1434
2024-04-10T10,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3206
2024-04-10T10,Turlock Irrigation District,TIDC,246
2024-04-10T10,City of Homestead,HST,50
2024-04-10T10,"Electric Reliability Council of Texas, Inc.",ERCO,38176
2024-04-10T10,"Duke Energy Florida, Inc.",FPC,4197
2024-04-10T10,South Carolina Public Service Authority,SC,2193
2024-04-10T10,Western Area Power Administration - Desert Southwest Region,WALC,942
2024-04-10T10,Tampa Electric Company,TEC,1714
2024-04-10T10,Nevada Power Company,NEVP,3232
2024-04-10T10,California Independent System Operator,CISO,19869
2024-04-10T10,"Dominion Energy South Carolina, Inc.",SCEG,1938
2024-04-10T10,"PJM Interconnection, LLC",PJM,72212
2024-04-10T10,"Associated Electric Cooperative, Inc.",AECI,1530
2024-04-10T10,Portland General Electric Company,PGE,2026
2024-04-10T10,Southwestern Power Administration,SPA,26
2024-04-10T10,"Public Utility District No. 2 of Grant County, Washington",GCPD,702
2024-04-10T10,Imperial Irrigation District,IID,251
2024-04-10T10,Tucson Electric Power,TEPC,1188
2024-04-10T10,Duke Energy Progress West,CPLW,434
2024-04-10T10,"Puget Sound Energy, Inc.",PSEI,2283
2024-04-10T10,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,431
2024-04-10T10,"Midcontinent Independent System Operator, Inc.",MISO,59420
2024-04-10T10,Florida Power & Light Co.,FPL,10748
2024-04-10T09,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3102
2024-04-10T09,Turlock Irrigation District,TIDC,254
2024-04-10T09,Idaho Power Company,IPCO,1354
2024-04-10T09,NorthWestern Corporation,NWMT,1199
2024-04-10T09,Nevada Power Company,NEVP,3276
2024-04-10T09,Public Service Company of Colorado,PSCO,3868
2024-04-10T09,Seminole Electric Cooperative,SEC,151
2024-04-10T09,Imperial Irrigation District,IID,264
2024-04-10T09,PacifiCorp East,PACE,5009
2024-04-10T09,Arizona Public Service Company,AZPS,2821
2024-04-10T09,"Southern Company Services, Inc. - Trans",SOCO,19086
2024-04-10T09,JEA,JEA,985
2024-04-10T09,Los Angeles Department of Water and Power,LDWP,2276
2024-04-10T09,El Paso Electric Company,EPE,708
2024-04-10T09,Duke Energy Carolinas,DUK,8912
2024-04-10T09,Duke Energy Progress West,CPLW,406
2024-04-10T09,"Public Utility District No. 2 of Grant County, Washington",GCPD,698
2024-04-10T09,Balancing Authority of Northern California,BANC,1405
2024-04-10T09,Salt River Project Agricultural Improvement and Power District,SRP,2625
2024-04-10T09,California Independent System Operator,CISO,20457
2024-04-10T09,"Duke Energy Florida, Inc.",FPC,3911
2024-04-10T09,Southwest Power Pool,SWPP,24881
2024-04-10T09,Bonneville Power Administration,BPAT,5796
2024-04-10T09,"Puget Sound Energy, Inc.",PSEI,2274
2024-04-10T09,Western Area Power Administration - Desert Southwest Region,WALC,941
2024-04-10T09,Southwestern Power Administration,SPA,27
2024-04-10T09,Avista Corporation,AVA,1234
2024-04-10T09,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,433
2024-04-10T09,City of Homestead,HST,47
2024-04-10T09,PacifiCorp West,PACW,1865
2024-04-10T09,"PJM Interconnection, LLC",PJM,69729
2024-04-10T09,Western Area Power Administration - Rocky Mountain Region,WACM,3278
2024-04-10T09,"Midcontinent Independent System Operator, Inc.",MISO,57697
2024-04-10T09,"Dominion Energy South Carolina, Inc.",SCEG,1871
2024-04-10T09,Florida Municipal Power Pool,FMPP,1352
2024-04-10T09,Portland General Electric Company,PGE,2041
2024-04-10T09,Tennessee Valley Authority,TVA,13335
2024-04-10T09,City of Tallahassee,TAL,199
2024-04-10T09,Public Utility District No. 1 of Chelan County,CHPD,178
2024-04-10T09,"Electric Reliability Council of Texas, Inc.",ERCO,38350
2024-04-10T09,Gainesville Regional Utilities,GVL,155
2024-04-10T09,New York Independent System Operator,NYIS,12411
2024-04-10T09,Seattle City Light,SCL,859
2024-04-10T09,Duke Energy Progress East,CPLE,4727
2024-04-10T09,Western Area Power Administration - Upper Great Plains West,WAUW,77
2024-04-10T09,Tampa Electric Company,TEC,1605
2024-04-10T09,Public Service Company of New Mexico,PNM,1426
2024-04-10T09,"Associated Electric Cooperative, Inc.",AECI,1443
2024-04-10T09,PUD No. 1 of Douglas County,DOPD,217
2024-04-10T09,Tucson Electric Power,TEPC,1197
2024-04-10T09,South Carolina Public Service Authority,SC,2118
2024-04-10T09,Florida Power & Light Co.,FPL,10210
2024-04-10T09,ISO New England,ISNE,10307
2024-04-10T08,City of Homestead,HST,47
2024-04-10T08,Public Service Company of New Mexico,PNM,1431
2024-04-10T08,Arizona Public Service Company,AZPS,2898
2024-04-10T08,South Carolina Public Service Authority,SC,2166
2024-04-10T08,Avista Corporation,AVA,1237
2024-04-10T08,"Southern Company Services, Inc. - Trans",SOCO,18902
2024-04-10T08,PacifiCorp East,PACE,5094
2024-04-10T08,City of Tallahassee,TAL,199
2024-04-10T08,"Associated Electric Cooperative, Inc.",AECI,1417
2024-04-10T08,NorthWestern Corporation,NWMT,1205
2024-04-10T08,ISO New England,ISNE,9999
2024-04-10T08,Duke Energy Progress East,CPLE,4635
2024-04-10T08,PUD No. 1 of Douglas County,DOPD,210
2024-04-10T08,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3066
2024-04-10T08,Southwest Power Pool,SWPP,24822
2024-04-10T08,Turlock Irrigation District,TIDC,263
2024-04-10T08,Florida Power & Light Co.,FPL,10215
2024-04-10T08,Bonneville Power Administration,BPAT,5759
2024-04-10T08,Seattle City Light,SCL,885
2024-04-10T08,Duke Energy Progress West,CPLW,396
2024-04-10T08,Tampa Electric Company,TEC,1599
2024-04-10T08,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,439
2024-04-10T08,"Electric Reliability Council of Texas, Inc.",ERCO,39249
2024-04-10T08,Gainesville Regional Utilities,GVL,155
2024-04-10T08,PacifiCorp West,PACW,1889
2024-04-10T08,Imperial Irrigation District,IID,287
2024-04-10T08,Florida Municipal Power Pool,FMPP,1341
2024-04-10T08,Tucson Electric Power,TEPC,1227
2024-04-10T08,Southwestern Power Administration,SPA,13
2024-04-10T08,Salt River Project Agricultural Improvement and Power District,SRP,2745
2024-04-10T08,Seminole Electric Cooperative,SEC,148
2024-04-10T08,"Public Utility District No. 2 of Grant County, Washington",GCPD,698
2024-04-10T08,Public Utility District No. 1 of Chelan County,CHPD,174
2024-04-10T08,Los Angeles Department of Water and Power,LDWP,2381
2024-04-10T08,"Puget Sound Energy, Inc.",PSEI,2343
2024-04-10T08,Public Service Company of Colorado,PSCO,3882
2024-04-10T08,Duke Energy Carolinas,DUK,8747
2024-04-10T08,"PJM Interconnection, LLC",PJM,68624
2024-04-10T08,Western Area Power Administration - Rocky Mountain Region,WACM,3293
2024-04-10T08,Balancing Authority of Northern California,BANC,1467
2024-04-10T08,El Paso Electric Company,EPE,716
2024-04-10T08,JEA,JEA,985
2024-04-10T08,Idaho Power Company,IPCO,1343
2024-04-10T08,Western Area Power Administration - Upper Great Plains West,WAUW,75
2024-04-10T08,"Duke Energy Florida, Inc.",FPC,3895
2024-04-10T08,Western Area Power Administration - Desert Southwest Region,WALC,944
2024-04-10T08,Portland General Electric Company,PGE,2086
2024-04-10T08,Tennessee Valley Authority,TVA,13330
2024-04-10T08,Nevada Power Company,NEVP,3359
2024-04-10T08,"Midcontinent Independent System Operator, Inc.",MISO,57555
2024-04-10T08,California Independent System Operator,CISO,21188
2024-04-10T08,New York Independent System Operator,NYIS,12280
2024-04-10T08,"Dominion Energy South Carolina, Inc.",SCEG,1840
2024-04-10T07,"Dominion Energy South Carolina, Inc.",SCEG,1855
2024-04-10T07,Western Area Power Administration - Rocky Mountain Region,WACM,3284
2024-04-10T07,NorthWestern Corporation,NWMT,1214
2024-04-10T07,El Paso Electric Company,EPE,741
2024-04-10T07,Gainesville Regional Utilities,GVL,160
2024-04-10T07,Nevada Power Company,NEVP,3504
2024-04-10T07,Western Area Power Administration - Upper Great Plains West,WAUW,74
2024-04-10T07,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,465
2024-04-10T07,Public Service Company of New Mexico,PNM,1439
2024-04-10T07,Los Angeles Department of Water and Power,LDWP,2347
2024-04-10T07,Idaho Power Company,IPCO,1384
2024-04-10T07,Duke Energy Progress East,CPLE,4662
2024-04-10T07,Balancing Authority of Northern California,BANC,1544
2024-04-10T07,Florida Municipal Power Pool,FMPP,1370
2024-04-10T07,"Duke Energy Florida, Inc.",FPC,4026
2024-04-10T07,Imperial Irrigation District,IID,333
2024-04-10T07,"Midcontinent Independent System Operator, Inc.",MISO,58369
2024-04-10T07,Arizona Public Service Company,AZPS,3039
2024-04-10T07,Public Service Company of Colorado,PSCO,3963
2024-04-10T07,Tucson Electric Power,TEPC,1265.9
2024-04-10T07,City of Homestead,HST,49
2024-04-10T07,Tampa Electric Company,TEC,1659
2024-04-10T07,Duke Energy Progress West,CPLW,398
2024-04-10T07,Southwestern Power Administration,SPA,18
2024-04-10T07,California Independent System Operator,CISO,22607
2024-04-10T07,Public Utility District No. 1 of Chelan County,CHPD,175
2024-04-10T07,JEA,JEA,1006
2024-04-10T07,Tennessee Valley Authority,TVA,13455
2024-04-10T07,Salt River Project Agricultural Improvement and Power District,SRP,2912
2024-04-10T07,"PJM Interconnection, LLC",PJM,69098
2024-04-10T07,Turlock Irrigation District,TIDC,274
2024-04-10T07,New York Independent System Operator,NYIS,12460
2024-04-10T07,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3179
2024-04-10T07,ISO New England,ISNE,9974
2024-04-10T07,Seattle City Light,SCL,935
2024-04-10T07,Bonneville Power Administration,BPAT,5938
2024-04-10T07,"Puget Sound Energy, Inc.",PSEI,2454
2024-04-10T07,"Associated Electric Cooperative, Inc.",AECI,1434
2024-04-10T07,"Electric Reliability Council of Texas, Inc.",ERCO,40515
2024-04-10T07,Western Area Power Administration - Desert Southwest Region,WALC,1007
2024-04-10T07,Seminole Electric Cooperative,SEC,151
2024-04-10T07,South Carolina Public Service Authority,SC,2172
2024-04-10T07,Southwest Power Pool,SWPP,25146
2024-04-10T07,City of Tallahassee,TAL,210
2024-04-10T07,Avista Corporation,AVA,1269
2024-04-10T07,Florida Power & Light Co.,FPL,10546
2024-04-10T07,PacifiCorp West,PACW,1943
2024-04-10T07,Duke Energy Carolinas,DUK,8769
2024-04-10T07,Portland General Electric Company,PGE,2197
2024-04-10T07,"Public Utility District No. 2 of Grant County, Washington",GCPD,698
2024-04-10T07,PacifiCorp East,PACE,5158
2024-04-10T07,"Southern Company Services, Inc. - Trans",SOCO,19170
2024-04-10T07,PUD No. 1 of Douglas County,DOPD,217
2024-04-10T06,Gainesville Regional Utilities,GVL,170
2024-04-10T06,"PJM Interconnection, LLC",PJM,70482
2024-04-10T06,South Carolina Public Service Authority,SC,2192
2024-04-10T06,Balancing Authority of Northern California,BANC,1670
2024-04-10T06,California Independent System Operator,CISO,24099
2024-04-10T06,Seattle City Light,SCL,1007
2024-04-10T06,Florida Municipal Power Pool,FMPP,1432
2024-04-10T06,"Public Utility District No. 2 of Grant County, Washington",GCPD,709
2024-04-10T06,PUD No. 1 of Douglas County,DOPD,217
2024-04-10T06,Florida Power & Light Co.,FPL,11119
2024-04-10T06,Tennessee Valley Authority,TVA,13710
2024-04-10T06,New York Independent System Operator,NYIS,12723
2024-04-10T06,Bonneville Power Administration,BPAT,6245
2024-04-10T06,Western Area Power Administration - Rocky Mountain Region,WACM,3346
2024-04-10T06,City of Tallahassee,TAL,223
2024-04-10T06,Public Utility District No. 1 of Chelan County,CHPD,179
2024-04-10T06,Los Angeles Department of Water and Power,LDWP,2411
2024-04-10T06,Avista Corporation,AVA,1330
2024-04-10T06,Public Service Company of Colorado,PSCO,4335
2024-04-10T06,Portland General Electric Company,PGE,2330
2024-04-10T06,"Southern Company Services, Inc. - Trans",SOCO,19688
2024-04-10T06,PacifiCorp East,PACE,5301
2024-04-10T06,"Electric Reliability Council of Texas, Inc.",ERCO,41923
2024-04-10T06,Western Area Power Administration - Desert Southwest Region,WALC,1044
2024-04-10T06,Duke Energy Progress East,CPLE,4775
2024-04-10T06,Southwest Power Pool,SWPP,25637
2024-04-10T06,Western Area Power Administration - Upper Great Plains West,WAUW,68
2024-04-10T06,Salt River Project Agricultural Improvement and Power District,SRP,3136
2024-04-10T06,Tampa Electric Company,TEC,1764
2024-04-10T06,"Puget Sound Energy, Inc.",PSEI,2654
2024-04-10T06,Public Service Company of New Mexico,PNM,1464
2024-04-10T06,ISO New England,ISNE,10129
2024-04-10T06,PacifiCorp West,PACW,2076
2024-04-10T06,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3286
2024-04-10T06,El Paso Electric Company,EPE,785
2024-04-10T06,"Duke Energy Florida, Inc.",FPC,4283
2024-04-10T06,JEA,JEA,1043
2024-04-10T06,"Associated Electric Cooperative, Inc.",AECI,1477
2024-04-10T06,NorthWestern Corporation,NWMT,1246
2024-04-10T06,Duke Energy Carolinas,DUK,8965
2024-04-10T06,Tucson Electric Power,TEPC,1336.96
2024-04-10T06,"Midcontinent Independent System Operator, Inc.",MISO,59459
2024-04-10T06,Nevada Power Company,NEVP,3699
2024-04-10T06,Seminole Electric Cooperative,SEC,159
2024-04-10T06,City of Homestead,HST,52
2024-04-10T06,"Dominion Energy South Carolina, Inc.",SCEG,1896
2024-04-10T06,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,490
2024-04-10T06,Southwestern Power Administration,SPA,22
2024-04-10T06,Imperial Irrigation District,IID,369
2024-04-10T06,Duke Energy Progress West,CPLW,403
2024-04-10T06,Turlock Irrigation District,TIDC,292
2024-04-10T06,Idaho Power Company,IPCO,1453
2024-04-10T06,Arizona Public Service Company,AZPS,3261
2024-04-10T05,Turlock Irrigation District,TIDC,310
2024-04-10T05,Arizona Public Service Company,AZPS,3497
2024-04-10T05,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3366
2024-04-10T05,Public Service Company of Colorado,PSCO,4732
2024-04-10T05,"Duke Energy Florida, Inc.",FPC,4628
2024-04-10T05,Western Area Power Administration - Upper Great Plains West,WAUW,72
2024-04-10T05,NorthWestern Corporation,NWMT,1293
2024-04-10T05,City of Homestead,HST,58
2024-04-10T05,City of Tallahassee,TAL,243
2024-04-10T05,Western Area Power Administration - Desert Southwest Region,WALC,1015
2024-04-10T05,"Associated Electric Cooperative, Inc.",AECI,1599
2024-04-10T05,Public Utility District No. 1 of Chelan County,CHPD,188
2024-04-10T05,Florida Power & Light Co.,FPL,12132
2024-04-10T05,Balancing Authority of Northern California,BANC,1807
2024-04-10T05,Idaho Power Company,IPCO,1551
2024-04-10T05,Duke Energy Carolinas,DUK,9294
2024-04-10T05,"Puget Sound Energy, Inc.",PSEI,2868
2024-04-10T05,"PJM Interconnection, LLC",PJM,71884
2024-04-10T05,Tucson Electric Power,TEPC,1415.04
2024-04-10T05,"Public Utility District No. 2 of Grant County, Washington",GCPD,719
2024-04-10T05,Portland General Electric Company,PGE,2523
2024-04-10T05,ISO New England,ISNE,10435
2024-04-10T05,South Carolina Public Service Authority,SC,2268
2024-04-10T05,Seminole Electric Cooperative,SEC,172
2024-04-10T05,Los Angeles Department of Water and Power,LDWP,2606
2024-04-10T05,"Southern Company Services, Inc. - Trans",SOCO,20565
2024-04-10T05,Duke Energy Progress West,CPLW,415
2024-04-10T05,El Paso Electric Company,EPE,849
2024-04-10T05,Imperial Irrigation District,IID,407
2024-04-10T05,Western Area Power Administration - Rocky Mountain Region,WACM,3474
2024-04-10T05,Salt River Project Agricultural Improvement and Power District,SRP,3408
2024-04-10T05,Public Service Company of New Mexico,PNM,1508
2024-04-10T05,Seattle City Light,SCL,1078
2024-04-10T05,PUD No. 1 of Douglas County,DOPD,230
2024-04-10T05,Nevada Power Company,NEVP,3726
2024-04-10T05,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,538
2024-04-10T05,Gainesville Regional Utilities,GVL,185
2024-04-10T05,"Midcontinent Independent System Operator, Inc.",MISO,61091
2024-04-10T05,Southwest Power Pool,SWPP,26472
2024-04-10T05,"Electric Reliability Council of Texas, Inc.",ERCO,44410
2024-04-10T05,Bonneville Power Administration,BPAT,6538
2024-04-10T05,"Dominion Energy South Carolina, Inc.",SCEG,1965
2024-04-10T05,Tampa Electric Company,TEC,1906
2024-04-10T05,Avista Corporation,AVA,1412
2024-04-10T05,Southwestern Power Administration,SPA,23
2024-04-10T05,PacifiCorp West,PACW,2240
2024-04-10T05,Tennessee Valley Authority,TVA,14291.43
2024-04-10T05,California Independent System Operator,CISO,25052
2024-04-10T05,Florida Municipal Power Pool,FMPP,1553
2024-04-10T05,JEA,JEA,1107
2024-04-10T05,Duke Energy Progress East,CPLE,4966
2024-04-10T05,PacifiCorp East,PACE,5501
2024-04-10T05,New York Independent System Operator,NYIS,13172
2024-04-10T04,Public Utility District No. 1 of Chelan County,CHPD,193
2024-04-10T04,PacifiCorp East,PACE,5824
2024-04-10T04,City of Tallahassee,TAL,264
2024-04-10T04,Arizona Public Service Company,AZPS,3617
2024-04-10T04,Avista Corporation,AVA,1480
2024-04-10T04,PUD No. 1 of Douglas County,DOPD,231
2024-04-10T04,Tampa Electric Company,TEC,2124
2024-04-10T04,Public Service Company of New Mexico,PNM,1591
2024-04-10T04,Tucson Electric Power,TEPC,1478.1
2024-04-10T04,Salt River Project Agricultural Improvement and Power District,SRP,3517
2024-04-10T04,Los Angeles Department of Water and Power,LDWP,2761
2024-04-10T04,Portland General Electric Company,PGE,2585
2024-04-10T04,Southwest Power Pool,SWPP,27815
2024-04-10T04,Idaho Power Company,IPCO,1676
2024-04-10T04,Florida Municipal Power Pool,FMPP,1720
2024-04-10T04,"Public Utility District No. 2 of Grant County, Washington",GCPD,725
2024-04-10T04,Turlock Irrigation District,TIDC,321
2024-04-10T04,Southwestern Power Administration,SPA,22
2024-04-10T04,Seminole Electric Cooperative,SEC,169
2024-04-10T04,New York Independent System Operator,NYIS,13887
2024-04-10T04,Florida Power & Light Co.,FPL,13523
2024-04-10T04,Western Area Power Administration - Rocky Mountain Region,WACM,3489
2024-04-10T04,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,557
2024-04-10T04,California Independent System Operator,CISO,24814
2024-04-10T04,ISO New England,ISNE,10483
2024-04-10T04,"Puget Sound Energy, Inc.",PSEI,2977
2024-04-10T04,Western Area Power Administration - Desert Southwest Region,WALC,1044
2024-04-10T04,Duke Energy Progress West,CPLW,436
2024-04-10T04,"Southern Company Services, Inc. - Trans",SOCO,21473
2024-04-10T04,City of Homestead,HST,65
2024-04-10T04,Seattle City Light,SCL,1120
2024-04-10T04,"Electric Reliability Council of Texas, Inc.",ERCO,47303
2024-04-10T04,Bonneville Power Administration,BPAT,6801
2024-04-10T04,PacifiCorp West,PACW,2340
2024-04-10T04,Louisville Gas and Electric Company and Kentucky Utilities Company,LGEE,3473
2024-04-10T04,Duke Energy Progress East,CPLE,5170
2024-04-10T04,El Paso Electric Company,EPE,912
2024-04-10T04,Duke Energy Carolinas,DUK,9764
2024-04-10T04,JEA,JEA,1210
2024-04-10T04,Gainesville Regional Utilities,GVL,207
2024-04-10T04,"PJM Interconnection, LLC",PJM,
2024-04-10T04,Tennessee Valley Authority,TVA,15134.3
2024-04-10T04,South Carolina Public Service Authority,SC,2446
2024-04-10T04,NorthWestern Corporation,NWMT,1356
2024-04-10T04,Public Service Company of Colorado,PSCO,4954
2024-04-10T04,"Associated Electric Cooperative, Inc.",AECI,1739
2024-04-10T04,"Midcontinent Independent System Operator, Inc.",MISO,63589
2024-04-10T04,Nevada Power Company,NEVP,3857
2024-04-10T04,Balancing Authority of Northern California,BANC,1901
2024-04-10T04,"Duke Energy Florida, Inc.",FPC,5203
2024-04-10T04,Western Area Power Administration - Upper Great Plains West,WAUW,76
2024-04-10T04,"Dominion Energy South Carolina, Inc.",SCEG,2089
2024-04-10T04,Imperial Irrigation District,IID,437
2024-04-10T03,Gainesville Regional Utilities,GVL,231
2024-04-10T03,Duke Energy Carolinas,DUK,10489
2024-04-10T03,City of Homestead,HST,73
2024-04-10T03,NorthWestern Corporation,NWMT,1383
2024-04-10T03,Western Area Power Administration - Desert Southwest Region,WALC,1059
2024-04-10T03,Avista Corporation,AVA,1466
2024-04-10T03,Florida Municipal Power Pool,FMPP,1934
2024-04-10T03,Duke Energy Progress West,CPLW,478
2024-04-10T03,Public Utility District No. 1 of Chelan County,CHPD,186
2024-04-10T03,Duke Energy Progress East,CPLE,5662
2024-04-10T03,Southwest Power Pool,SWPP,29188
2024-04-10T03,El Paso Electric Company,EPE,939
2024-04-10T03,PacifiCorp West,PACW,2282
2024-04-10T03,Nevada Power Company,NEVP,3947
