BA Code,BA Name,Directly Interconnected BA Code,Directly Interconnected BA Name,Country of Foreign Directly Interconnected BA,Active Connection,Activation Date,Retirement Date
AEC,PowerSouth Energy Cooperative,MISO,"Midcontinent Independent System Operator, Inc.",,No,,9/1/2021
AEC,PowerSouth Energy Cooperative,SOCO,"Southern Company Services, Inc. - Trans",,No,,9/1/2021
AECI,"Associated Electric Cooperative, Inc.",MISO,"Midcontinent Independent System Operator, Inc.",,Yes,,
AECI,"Associated Electric Cooperative, Inc.",SPA,Southwestern Power Administration,,Yes,,
AECI,"Associated Electric Cooperative, Inc.",SWPP,Southwest Power Pool,,Yes,,
AECI,"Associated Electric Cooperative, Inc.",TVA,Tennessee Valley Authority,,Yes,,
AECI,"Associated Electric Cooperative, Inc.",WAUE,Western Area Power Administration - Upper Great Plains East,,No,,10/1/2015
AVA,Avista Corporation,BPAT,Bonneville Power Administration,,Yes,,
AVA,Avista Corporation,CHPD,Public Utility District No. 1 of Chelan County,,Yes,,
AVA,Avista Corporation,GCPD,"Public Utility District No. 2 of Grant County, Washington",,Yes,,
AVA,Avista Corporation,IPCO,Idaho Power Company,,Yes,,
AVA,Avista Corporation,NWMT,NorthWestern Corporation,,Yes,,
AVA,Avista Corporation,PACW,PacifiCorp West,,Yes,,
AVRN,"Avangrid Renewables, LLC",BPAT,Bonneville Power Administration,,Yes,7/31/2018,
AVRN,"Avangrid Renewables, LLC",PACW,PacifiCorp West,,Yes,4/2/2019,
AZPS,Arizona Public Service Company,CISO,California Independent System Operator,,Yes,,
AZPS,Arizona Public Service Company,GRMA,"Gila River Power, LLC",,No,,5/3/2018
AZPS,Arizona Public Service Company,IID,Imperial Irrigation District,,Yes,,
AZPS,Arizona Public Service Company,LDWP,Los Angeles Department of Water and Power,,Yes,,
AZPS,Arizona Public Service Company,PACE,PacifiCorp East,,Yes,,
AZPS,Arizona Public Service Company,PNM,Public Service Company of New Mexico,,Yes,,
AZPS,Arizona Public Service Company,SRP,Salt River Project Agricultural Improvement and Power District,,Yes,,
AZPS,Arizona Public Service Company,TEPC,Tucson Electric Power,,Yes,,
AZPS,Arizona Public Service Company,WACM,Western Area Power Administration - Rocky Mountain Region,,Yes,,
AZPS,Arizona Public Service Company,WALC,Western Area Power Administration - Desert Southwest Region,,Yes,,
BANC,Balancing Authority of Northern California,BPAT,Bonneville Power Administration,,Yes,,
BANC,Balancing Authority of Northern California,CISO,California Independent System Operator,,Yes,,
BANC,Balancing Authority of Northern California,TIDC,Turlock Irrigation District,,Yes,,
BPAT,Bonneville Power Administration,AVA,Avista Corporation,,Yes,,
BPAT,Bonneville Power Administration,AVRN,"Avangrid Renewables, LLC",,Yes,7/31/2018,
BPAT,Bonneville Power Administration,BANC,Balancing Authority of Northern California,,Yes,,
BPAT,Bonneville Power Administration,BCHA,British Columbia Hydro and Power Authority,Canada,Yes,,
BPAT,Bonneville Power Administration,CHPD,Public Utility District No. 1 of Chelan County,,Yes,,
BPAT,Bonneville Power Administration,CISO,California Independent System Operator,,Yes,,
BPAT,Bonneville Power Administration,DOPD,PUD No. 1 of Douglas County,,Yes,,
BPAT,Bonneville Power Administration,GCPD,"Public Utility District No. 2 of Grant County, Washington",,Yes,,
BPAT,Bonneville Power Administration,GRID,"Gridforce Energy Management, LLC",,Yes,,
BPAT,Bonneville Power Administration,IPCO,Idaho Power Company,,Yes,,
BPAT,Bonneville Power Administration,LDWP,Los Angeles Department of Water and Power,,Yes,,
BPAT,Bonneville Power Administration,NEVP,Nevada Power Company,,Yes,,
BPAT,Bonneville Power Administration,NWMT,NorthWestern Corporation,,Yes,,
BPAT,Bonneville Power Administration,PACW,PacifiCorp West,,Yes,,
BPAT,Bonneville Power Administration,PGE,Portland General Electric Company,,Yes,,
BPAT,Bonneville Power Administration,PSEI,"Puget Sound Energy, Inc.",,Yes,,
BPAT,Bonneville Power Administration,SCL,Seattle City Light,,Yes,,
BPAT,Bonneville Power Administration,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",,Yes,,
CHPD,Public Utility District No. 1 of Chelan County,AVA,Avista Corporation,,Yes,,
CHPD,Public Utility District No. 1 of Chelan County,BPAT,Bonneville Power Administration,,Yes,,
CHPD,Public Utility District No. 1 of Chelan County,DOPD,PUD No. 1 of Douglas County,,Yes,,
CHPD,Public Utility District No. 1 of Chelan County,PSEI,"Puget Sound Energy, Inc.",,Yes,,
CISO,California Independent System Operator,AZPS,Arizona Public Service Company,,Yes,,
CISO,California Independent System Operator,BANC,Balancing Authority of Northern California,,Yes,,
CISO,California Independent System Operator,BPAT,Bonneville Power Administration,,Yes,,
CISO,California Independent System Operator,CEN,Centro Nacional de Control de Energia,Mexico,Yes,7/1/2018,
CISO,California Independent System Operator,CFE,Comision Federal de Electricidad,Mexico,No,,7/1/2018
CISO,California Independent System Operator,IID,Imperial Irrigation District,,Yes,,
CISO,California Independent System Operator,LDWP,Los Angeles Department of Water and Power,,Yes,,
CISO,California Independent System Operator,NEVP,Nevada Power Company,,Yes,,
CISO,California Independent System Operator,PACW,PacifiCorp West,,Yes,,
CISO,California Independent System Operator,SRP,Salt River Project Agricultural Improvement and Power District,,Yes,,
CISO,California Independent System Operator,TIDC,Turlock Irrigation District,,Yes,,
CISO,California Independent System Operator,WALC,Western Area Power Administration - Desert Southwest Region,,Yes,,
CPLE,Duke Energy Progress East,DUK,Duke Energy Carolinas,,Yes,,
CPLE,Duke Energy Progress East,PJM,"PJM Interconnection, LLC",,Yes,,
CPLE,Duke Energy Progress East,SC,South Carolina Public Service Authority,,Yes,,
CPLE,Duke Energy Progress East,SCEG,"Dominion Energy South Carolina, Inc.",,Yes,,
CPLE,Duke Energy Progress East,YAD,"Alcoa Power Generating, Inc. - Yadkin Division",,Yes,,
CPLW,Duke Energy Progress West,DUK,Duke Energy Carolinas,,Yes,,
CPLW,Duke Energy Progress West,PJM,"PJM Interconnection, LLC",,Yes,,
CPLW,Duke Energy Progress West,TVA,Tennessee Valley Authority,,Yes,,
DEAA,"Arlington Valley, LLC",SRP,Salt River Project Agricultural Improvement and Power District,,Yes,,
DOPD,PUD No. 1 of Douglas County,BPAT,Bonneville Power Administration,,Yes,,
DOPD,PUD No. 1 of Douglas County,CHPD,Public Utility District No. 1 of Chelan County,,Yes,,
DUK,Duke Energy Carolinas,CPLE,Duke Energy Progress East,,Yes,,
DUK,Duke Energy Carolinas,CPLW,Duke Energy Progress West,,Yes,,
DUK,Duke Energy Carolinas,PJM,"PJM Interconnection, LLC",,Yes,,
DUK,Duke Energy Carolinas,SC,South Carolina Public Service Authority,,Yes,,
DUK,Duke Energy Carolinas,SCEG,"Dominion Energy South Carolina, Inc.",,Yes,,
DUK,Duke Energy Carolinas,SEPA,Southeastern Power Administration,,Yes,,
