name,date,value
demandForecast,2024-04-11T04:00Z,332710.5
demandForecast,2024-04-11T03:00Z,349758.7
demandForecast,2024-04-11T02:00Z,360615
demandForecast,2024-04-11T01:00Z,361986.1
demandForecast,2024-04-11,358108.3
demandForecast,2024-04-10T23:00Z,354830.6
demandForecast,2024-04-10T22:00Z,352033.5
demandForecast,2024-04-10T21:00Z,347755.9
demandForecast,2024-04-10T20:00Z,344497.2
demandForecast,2024-04-10T19:00Z,342226.3
demandForecast,2024-04-10T18:00Z,342501.8
demandForecast,2024-04-10T17:00Z,343036
demandForecast,2024-04-10T16:00Z,344063.7
demandForecast,2024-04-10T15:00Z,344241.4
demandForecast,2024-04-10T14:00Z,340640.7
demandForecast,2024-04-10T13:00Z,332933.4
demandForecast,2024-04-10T12:00Z,321903.8
demandForecast,2024-04-10T11:00Z,305234.7
demandActual,2024-04-10T11:00Z,374325
demandForecast,2024-04-10T10:00Z,290052.9
demandActual,2024-04-10T10:00Z,362976
demandForecast,2024-04-10T09:00Z,283325.1
demandActual,2024-04-10T09:00Z,355047
demandForecast,2024-04-10T08:00Z,284198.5
demandActual,2024-04-10T08:00Z,355143
demandForecast,2024-04-10T07:00Z,287558.6
demandActual,2024-04-10T07:00Z,362231.9
demandActual,2024-04-10T06:00Z,373564.96
demandForecast,2024-04-10T06:00Z,300724.9
demandActual,2024-04-10T05:00Z,388757.47
demandForecast,2024-04-10T05:00Z,316793.6
totalInterchange,2024-04-10T04:00Z,5362
demandActual,2024-04-10T04:00Z,403173.4
netGeneration,2024-04-10T04:00Z,404147.4
demandForecast,2024-04-10T04:00Z,406688.6
demandActual,2024-04-10T03:00Z,422327.44
totalInterchange,2024-04-10T03:00Z,5467
netGeneration,2024-04-10T03:00Z,426189.44
demandForecast,2024-04-10T03:00Z,426818.3
netGeneration,2024-04-10T02:00Z,443151.37
demandForecast,2024-04-10T02:00Z,441510
demandActual,2024-04-10T02:00Z,437248.37
totalInterchange,2024-04-10T02:00Z,4139
demandForecast,2024-04-10T01:00Z,447419.2
demandActual,2024-04-10T01:00Z,443416.74
netGeneration,2024-04-10T01:00Z,445902.74
totalInterchange,2024-04-10T01:00Z,1168
demandForecast,2024-04-10,446793.2
netGeneration,2024-04-10,440555.7
demandActual,2024-04-10,442943.7
totalInterchange,2024-04-10,14
demandForecast,2024-04-09T23:00Z,444157.8
totalInterchange,2024-04-09T23:00Z,75
netGeneration,2024-04-09T23:00Z,436986.81
demandActual,2024-04-09T23:00Z,440928.81
netGeneration,2024-04-09T22:00Z,433542.46
demandActual,2024-04-09T22:00Z,436746.46
demandForecast,2024-04-09T22:00Z,440026
totalInterchange,2024-04-09T22:00Z,921
netGeneration,2024-04-09T21:00Z,429209.92
demandActual,2024-04-09T21:00Z,433157.92
totalInterchange,2024-04-09T21:00Z,1036
demandForecast,2024-04-09T21:00Z,434868.2
netGeneration,2024-04-09T20:00Z,429410.22
demandForecast,2024-04-09T20:00Z,430396.2
demandActual,2024-04-09T20:00Z,429495.22
totalInterchange,2024-04-09T20:00Z,1470
demandForecast,2024-04-09T19:00Z,428027.9
demandActual,2024-04-09T19:00Z,428340.08
netGeneration,2024-04-09T19:00Z,427724.08
totalInterchange,2024-04-09T19:00Z,2092
demandActual,2024-04-09T18:00Z,426940.98
demandForecast,2024-04-09T18:00Z,426235.1
netGeneration,2024-04-09T18:00Z,425513.98
totalInterchange,2024-04-09T18:00Z,2160
totalInterchange,2024-04-09T17:00Z,2648
demandActual,2024-04-09T17:00Z,427763.06
demandForecast,2024-04-09T17:00Z,425829.6
netGeneration,2024-04-09T17:00Z,426612.06
demandForecast,2024-04-09T16:00Z,426094.1
totalInterchange,2024-04-09T16:00Z,2571
netGeneration,2024-04-09T16:00Z,424028.57
demandActual,2024-04-09T16:00Z,427323.57
totalInterchange,2024-04-09T15:00Z,4012
demandActual,2024-04-09T15:00Z,425617.56
netGeneration,2024-04-09T15:00Z,421891.56
demandForecast,2024-04-09T15:00Z,426556.9
totalInterchange,2024-04-09T14:00Z,6666
demandActual,2024-04-09T14:00Z,422077.78
demandForecast,2024-04-09T14:00Z,424289
netGeneration,2024-04-09T14:00Z,421349.78
demandActual,2024-04-09T13:00Z,417431.6
demandForecast,2024-04-09T13:00Z,418408.3
netGeneration,2024-04-09T13:00Z,418519.6
totalInterchange,2024-04-09T13:00Z,6506
demandActual,2024-04-09T12:00Z,410033.93
totalInterchange,2024-04-09T12:00Z,5168
demandForecast,2024-04-09T12:00Z,409059.9
netGeneration,2024-04-09T12:00Z,409879.93
netGeneration,2024-04-09T11:00Z,390538.43
demandForecast,2024-04-09T11:00Z,392035.3
demandActual,2024-04-09T11:00Z,392792.43
totalInterchange,2024-04-09T11:00Z,5853
demandActual,2024-04-09T10:00Z,373487.94
totalInterchange,2024-04-09T10:00Z,6239
demandForecast,2024-04-09T10:00Z,372587.8
netGeneration,2024-04-09T10:00Z,370666.94
demandActual,2024-04-09T09:00Z,361178.77
totalInterchange,2024-04-09T09:00Z,6203
netGeneration,2024-04-09T09:00Z,360744.77
