Commodity,Country,Category,YearNum,FoodValue
"Coffee, roasted and instant",MEXICO,Coffee,2003,3.9
Coffee extracts and preparations,MEXICO,Coffee,2003,32.3
Coffee extracts and preparations,COLOMBIA,Coffee,2003,8.9
Coffee extracts and preparations,BRAZIL,Coffee,2003,32.7
Coffee extracts and preparations,INDIA,Coffee,2003,0.2
Tea and mate,JAPAN,Coffee,2003,5.4
Tea and mate,CHINA (MAINLAND),Coffee,2003,35.3
Tea and mate,CANADA,Coffee,2003,53.3
Tea and mate,INDIA,Coffee,2003,29
Spices,INDIA,Coffee,2003,46.3
Spices,VIETNAM,Coffee,2003,20.7
Spices,CHINA (MAINLAND),Coffee,2003,38.4
Spices,MADAGASCAR (MALAGASY),Coffee,2003,179
Spices,MEXICO,Coffee,2003,30.1
Spices,SPAIN,Coffee,2003,18.5
Spices,PERU,Coffee,2003,7.9
Spices,INDONESIA,Coffee,2003,119.2
Bulk grains,CANADA,Grains,2003,317.6
Bulk grains,THAILAND,Grains,2003,132.5
Bulk grains,INDIA,Grains,2003,39.1
Bulk grains,"GERMANY, FED. REPUBLIC",Grains,2003,7.3
Bulk grains,POLAND,Grains,2003,0.2
Bulk grains,ARGENTINA,Grains,2003,4.2
Bulk grains,BRAZIL,Grains,2003,0.2
Wheat and products,CANADA,Grains,2003,222.6
Wheat and products,AUSTRALIA,Grains,2003,29.2
Wheat and products,POLAND,Grains,2003,11.9
Wheat and products,"GERMANY, FED. REPUBLIC",Grains,2003,7.2
Rice and products,THAILAND,Grains,2003,135.1
Rice and products,INDIA,Grains,2003,39.4
Rice and products,PAKISTAN,Grains,2003,9.6
Rice and products,CHINA (MAINLAND),Grains,2003,23
Milled grain products,CANADA,Grains,2003,236.1
Milled grain products,AUSTRALIA,Grains,2003,29.8
Milled grain products,MEXICO,Grains,2003,11.5
Milled grain products,"GERMANY, FED. REPUBLIC",Grains,2003,17.4
Milled grain products,TURKEY,Grains,2003,0.1
Milled grain products,THAILAND,Grains,2003,7.4
Milled grain products,NETHERLANDS,Grains,2003,25.2
Cereal and bakery foods,CANADA,Grains,2003,1328.8
Cereal and bakery foods,MEXICO,Grains,2003,239.6
Cereal and bakery foods,ITALY,Grains,2003,212.1
Cereal and bakery foods,SOUTH KOREA,Grains,2003,53.2
Cereal and bakery foods,FRANCE,Grains,2003,52.5
Cereal and bakery foods,THAILAND,Grains,2003,37.3
Cereal and bakery foods,"GERMANY, FED. REPUBLIC",Grains,2003,67.1
Crude vegetable oils,CANADA,VegetablesOil,2003,50.8
Crude vegetable oils,PHILIPPINES,VegetablesOil,2003,89.7
Crude vegetable oils,ARGENTINA,VegetablesOil,2003,11.9
Crude vegetable oils,MEXICO,VegetablesOil,2003,10.6
Crude vegetable oils,INDONESIA,VegetablesOil,2003,12.9
Crude vegetable oils,SPAIN,VegetablesOil,2003,0.1
Refined vegetable oils,CANADA,VegetablesOil,2003,222.9
Refined vegetable oils,INDONESIA,VegetablesOil,2003,11.9
Refined vegetable oils,ITALY,VegetablesOil,2003,365.7
Refined vegetable oils,SPAIN,VegetablesOil,2003,96.4
Refined vegetable oils,MEXICO,VegetablesOil,2003,12.7
Refined vegetable oils,TURKEY,VegetablesOil,2003,35.2
Olive oil,SPAIN,VegetablesOil,2003,95.1
Olive oil,ITALY,VegetablesOil,2003,361.7
Olive oil,TUNISIA,VegetablesOil,2003,4.1
Olive oil,TURKEY,VegetablesOil,2003,28.5
Olive oil,GREECE,VegetablesOil,2003,12.3
Tropical oils,INDONESIA,VegetablesOil,2003,24.7
Tropical oils,PHILIPPINES,VegetablesOil,2003,135.4
Tropical oils,MALAYSIA,VegetablesOil,2003,182.6
Tropical oils,COLOMBIA,VegetablesOil,2003,2.2
Tropical oils,SRI LANKA,VegetablesOil,2003,0.1
Tropical oils,MEXICO,VegetablesOil,2003,0
Oilseeds,CANADA,VegetablesOil,2003,126
Oilseeds,BRAZIL,VegetablesOil,2003,0.2
Oilseeds,ARGENTINA,VegetablesOil,2003,6.6
Oilseeds,CHILE,VegetablesOil,2003,1.9
Oilseeds,INDIA,VegetablesOil,2003,24.7
Oilseeds,BULGARIA,VegetablesOil,2003,0
"Sugar, cane and beet",MEXICO,Sweets,2003,19.9
"Sugar, cane and beet",BRAZIL,Sweets,2003,70.9
"Sugar, cane and beet",GUATEMALA,Sweets,2003,85.9
"Sugar, cane and beet",EL SALVADOR,Sweets,2003,36.9
"Sugar, cane and beet",COLOMBIA,Sweets,2003,45.5
"Sugar, cane and beet",DOMINICAN REPUBLIC,Sweets,2003,77.2
"Sugar, cane and beet",AUSTRALIA,Sweets,2003,41
Other sweeteners and syrups,CANADA,Sweets,2003,169.7
Other sweeteners and syrups,MEXICO,Sweets,2003,33.5
Other sweeteners and syrups,INDIA,Sweets,2003,10.5
Other sweeteners and syrups,ARGENTINA,Sweets,2003,11
Other sweeteners and syrups,BRAZIL,Sweets,2003,20.5
Other sweeteners and syrups,NEW ZEALAND,Sweets,2003,0.8
Confections,MEXICO,Sweets,2003,213.1
Confections,CANADA,Sweets,2003,410.4
Confections,"GERMANY, FED. REPUBLIC",Sweets,2003,22.3
Confections,TURKEY,Sweets,2003,5.1
Confections,SPAIN,Sweets,2003,31.1
Confections,CHINA (MAINLAND),Sweets,2003,52.4
Confections,SWITZERLAND,Sweets,2003,14.3
Confections,THAILAND,Sweets,2003,21.6
Cocoa beans,IVORY COAST,Cocoa,2003,344.2
Cocoa beans,ECUADOR,Cocoa,2003,42.7
Cocoa beans,GHANA,Cocoa,2003,0.5
Cocoa beans,DOMINICAN REPUBLIC,Cocoa,2003,49.8
Cocoa beans,PAPUA NEW GUINEA,Cocoa,2003,4.7
Cocoa beans,NIGERIA,Cocoa,2003,38.3
"Cocoa paste, butter, and powder",IVORY COAST,Cocoa,2003,59.8
"Cocoa paste, butter, and powder",INDONESIA,Cocoa,2003,59.9
"Cocoa paste, butter, and powder",MALAYSIA,Cocoa,2003,89.6
"Cocoa paste, butter, and powder",NETHERLANDS,Cocoa,2003,164.1
"Cocoa paste, butter, and powder",GHANA,Cocoa,2003,6.1
"Cocoa paste, butter, and powder",ECUADOR,Cocoa,2003,13.9
"Cocoa paste, butter, and powder",CANADA,Cocoa,2003,18.7
"Cocoa paste, butter, and powder",SPAIN,Cocoa,2003,9.3
Chocolate,CANADA,Cocoa,2003,686.2
Chocolate,MEXICO,Cocoa,2003,60
Chocolate,BELGIUM,Cocoa,2003,59
Chocolate,"GERMANY, FED. REPUBLIC",Cocoa,2003,50.7
Chocolate,POLAND,Cocoa,2003,8.9
Chocolate,ITALY,Cocoa,2003,15.2
Chocolate,SWITZERLAND,Cocoa,2003,24.4
Chocolate,CROATIA,Cocoa,2003,0.9
"Sauces, soups, prepared foods",SINGAPORE,Other,2003,5.3
"Sauces, soups, prepared foods",CANADA,Other,2003,483.6
"Sauces, soups, prepared foods",ITALY,Other,2003,117
"Sauces, soups, prepared foods",MEXICO,Other,2003,130.5
"Sauces, soups, prepared foods",CHINA (MAINLAND),Other,2003,50
"Sauces, soups, prepared foods",THAILAND,Other,2003,77.2
"Sauces, soups, prepared foods","GERMANY, FED. REPUBLIC",Other,2003,26.6
"Sauces, soups, prepared foods",SOUTH KOREA,Other,2003,28.3
Essential oils,IRELAND,Other,2003,900.9
Essential oils,BRAZIL,Other,2003,44.9
Essential oils,MEXICO,Other,2003,25.7
Essential oils,INDIA,Other,2003,40.1
Essential oils,FRANCE,Other,2003,51.1
Essential oils,CANADA,Other,2003,22
Essential oils,ITALY,Other,2003,8.6
Essential oils,CHINA (MAINLAND),Other,2003,25.7
Animal and other fats,CANADA,Other,2003,93.4
Animal and other fats,AUSTRALIA,Other,2003,1.8
Animal and other fats,BRAZIL,Other,2003,2
Animal and other fats,MEXICO,Other,2003,1
Animal and other fats,VIETNAM,Other,2003,0
Animal and other fats,URUGUAY,Other,2003,0
Animal and other fats,ARGENTINA,Other,2003,1.1
Animal and other fats,NORWAY,Other,2003,19.3
Other edible products,INDIA,Other,2003,90.6
Other edible products,CHINA (MAINLAND),Other,2003,77.5
Other edible products,CANADA,Other,2003,68.8
Other edible products,MEXICO,Other,2003,68.3
Other edible products,FRANCE,Other,2003,62.6
Other edible products,SPAIN,Other,2003,24.7
Other edible products,ITALY,Other,2003,17.9
Other edible products,"GERMANY, FED. REPUBLIC",Other,2003,43.1
Wine,FRANCE,Beverages,2003,1122.2
Wine,ITALY,Beverages,2003,927.1
Wine,NEW ZEALAND,Beverages,2003,43.4
Wine,SPAIN,Beverages,2003,158
Wine,AUSTRALIA,Beverages,2003,625.6
Wine,ARGENTINA,Beverages,2003,37.3
Wine,CANADA,Beverages,2003,41.3
Malt beer,MEXICO,Beverages,2003,1068
Malt beer,NETHERLANDS,Beverages,2003,897.2
Malt beer,IRELAND,Beverages,2003,96.5
Malt beer,CANADA,Beverages,2003,223.2
Malt beer,"GERMANY, FED. REPUBLIC",Beverages,2003,151
Malt beer,BELGIUM,Beverages,2003,25.4
Malt beer,ITALY,Beverages,2003,9.9
Nonalcoholic beverages,MEXICO,Beverages,2003,187.4
Nonalcoholic beverages,CANADA,Beverages,2003,269.2
Nonalcoholic beverages,ITALY,Beverages,2003,51.8
Nonalcoholic beverages,AUSTRIA,Beverages,2003,185.2
Nonalcoholic beverages,SWITZERLAND,Beverages,2003,0.5
Nonalcoholic beverages,FRANCE,Beverages,2003,80
Liquors and liqueurs,MEXICO,Beverages,2003,461.7
Liquors and liqueurs,FRANCE,Beverages,2003,845.4
Liquors and liqueurs,UNITED KINGDOM,Beverages,2003,720.8
Liquors and liqueurs,CANADA,Beverages,2003,295.3
Liquors and liqueurs,NETHERLANDS,Beverages,2003,149.6
Liquors and liqueurs,IRELAND,Beverages,2003,219.9
Liquors and liqueurs,ITALY,Beverages,2003,84.2
Liquors and liqueurs,SWEDEN,Beverages,2003,324.8
"Bovine animals, live",CANADA,Animals,2004,0.1
"Bovine animals, live",MEXICO,Animals,2004,541
"Swine, live",CANADA,Animals,2004,529.4
"Sheep and goats, live",CANADA,Animals,2004,0
Live poultry,CANADA,Animals,2004,30.7
Bird eggs,CANADA,Animals,2004,24.7
Bird eggs,UNITED KINGDOM,Animals,2004,0.1
Bird eggs,NETHERLANDS,Animals,2004,0
Bird eggs,CHINA (MAINLAND),Animals,2004,2.8
Bird eggs,THAILAND,Animals,2004,0.5
Bird eggs,TURKEY,Animals,2004,0
Bird eggs,TAIWAN,Animals,2004,1.2
Fresh or chilled red meats,CANADA,Meats,2004,1787
Fresh or chilled red meats,MEXICO,Meats,2004,30.2
Fresh or chilled red meats,AUSTRALIA,Meats,2004,173.4
Fresh or chilled red meats,NICARAGUA,Meats,2004,16.5
Fresh or chilled red meats,NEW ZEALAND,Meats,2004,34.7
Fresh or chilled red meats,ARGENTINA,Meats,2004,0
Frozen red meats and parts,AUSTRALIA,Meats,2004,973.9
Frozen red meats and parts,NEW ZEALAND,Meats,2004,577.3
Frozen red meats and parts,BRAZIL,Meats,2004,0
Frozen red meats and parts,CANADA,Meats,2004,191
Frozen red meats and parts,MEXICO,Meats,2004,5.7
Frozen red meats and parts,URUGUAY,Meats,2004,260.9
Fowl and other meats,CHILE,Meats,2004,0
Fowl and other meats,CANADA,Meats,2004,73.4
Fowl and other meats,NEW ZEALAND,Meats,2004,9.9
Fowl and other meats,CHINA (MAINLAND),Meats,2004,7.9
Prepared meats,CANADA,Meats,2004,330.2
Prepared meats,BRAZIL,Meats,2004,194.8
Prepared meats,ITALY,Meats,2004,40.9
Prepared meats,MEXICO,Meats,2004,21.3
Prepared meats,URUGUAY,Meats,2004,13.3
Prepared meats,POLAND,Meats,2004,32.2
Prepared meats,SPAIN,Meats,2004,7
Prepared meats,NEW ZEALAND,Meats,2004,20
"Whole fish--fresh, chilled, or frozen",CANADA,Fish,2004,415
"Whole fish--fresh, chilled, or frozen",NORWAY,Fish,2004,20
"Whole fish--fresh, chilled, or frozen",CHILE,Fish,2004,49
