date,active28d,engagementRate,wauPerMau,engagedSessions
2023-04-21,84,0.035087719298245612,1,2
2023-04-24,186,0.018181818181818181,1,1
2023-04-25,243,0.0547945205479452,1,4
2023-04-26,1393,0.44657955418908529,1,581
2023-04-27,4847,0.44076655052264807,0.99401691768103984,1771
2023-04-28,7610,0.61857426867367227,0.98975032851511169,2178
2023-04-29,8027,0.42139175257731959,0.987666625140152,327
2023-04-30,8287,0.35918367346938773,0.9835887534692892,176
2023-05-01,8654,0.39680232558139533,0.97896926276866192,273
2023-05-02,9303,0.26871794871794874,0.97441685477802864,262
2023-05-03,10056,0.20483005366726298,0.87619331742243434,229
2023-05-04,10593,0.39701173959445035,0.578589634664401,372
2023-05-05,10940,0.36863823933975243,0.34223034734917734,268
2023-05-06,11101,0.39473684210526316,0.30871092694351859,135
2023-05-07,11305,0.35714285714285715,0.29562140645731977,130
2023-05-08,11517,0.26428571428571429,0.28167057393418427,148
2023-05-09,11802,0.2361904761904762,0.2432638535841383,124
2023-05-10,12177,0.28654970760233917,0.20587993758725465,196
2023-05-11,13023,0.47456140350877191,0.21331490439990786,541
2023-05-12,13196,0.31223628691983124,0.19862079418005457,148
2023-05-13,13318,0.27962085308056872,0.1921459678630425,59
2023-05-14,13441,0.32978723404255317,0.18212930585521911,62
2023-05-15,13626,0.32830188679245281,0.177308087479818,174
2023-05-16,13901,0.31203007518796994,0.17502337961297748,166
2023-05-17,14151,0.403035413153457,0.165500671330648,239
2023-05-18,14552,0.46268656716417911,0.13853852481491638,372
2023-05-19,14697,0.3235294117647059,0.133902554719794,154
2023-05-20,14737,0.32075471698113206,0.13248123351592614,68
2023-05-21,14811,0.36071428571428571,0.135751783550949,101
2023-05-22,14982,0.30409356725146197,0.13159466454310173,156
2023-05-23,15088,0.29896907216494845,0.12466213989056629,145
2023-05-24,14269,0.32644628099173556,0.11438122705820661,158
2023-05-25,11492,0.31030150753768843,0.11260568793235973,247
2023-05-26,9310,0.48714810281517745,0.13530808813827683,398
2023-05-27,9007,0.42622950819672129,0.17439947351102336,130
2023-05-28,8892,0.39273927392739272,0.21979848343201414,119
2023-05-29,8724,0.32801822323462415,0.2267037552155772,144
2023-05-30,8388,0.33170731707317075,0.23870691500749305,204
2023-05-31,7905,0.31710914454277284,0.2601985754370818,215
2023-06-01,7773,0.32926829268292684,0.26098535286284952,243
2023-06-02,7665,0.38791423001949316,0.24840989399293287,199
2023-06-03,7656,0.36546184738955823,0.25369094488188976,91
2023-06-04,7589,0.26991150442477874,0.254181449569184,61
2023-06-05,7516,0.2928709055876686,0.25480105434919043,152
2023-06-06,7475,0.33962264150943394,0.23987930600955495,162
2023-06-07,7298,0.30339321357285431,0.22708757637474541,152
2023-06-08,6683,0.24840764331210191,0.20171399334868254,117
2023-06-09,6592,0.28415300546448086,0.19210526315789472,104
2023-06-10,6559,0.29213483146067415,0.20392727272727273,52
2023-06-11,6556,0.31854838709677419,0.2071014708067152,79
2023-06-12,6510,0.30580357142857145,0.19961837663290768,137
2023-06-13,6433,0.30038759689922478,0.19889902940750398,155
2023-06-14,6287,0.29113924050632911,0.19433907207470091,138
2023-06-15,5989,0.34817813765182187,0.19580005915409643,172
2023-06-16,5954,0.3075,0.20232874640858914,123
2023-06-17,6001,0.30916030534351147,0.22352382460028494,81
2023-06-18,6021,0.36827195467422097,0.23881074168797953,130
2023-06-19,6100,0.3462897526501767,0.24883213952039862,196
2023-06-20,6226,0.30563380281690139,0.26512265732134693,217
2023-06-21,6381,0.36949685534591192,0.28291735166641757,235
2023-06-22,6197,0.3563402889245586,0.29290246421720523,222
2023-06-23,5968,0.33682008368200839,0.29678362573099415,161
2023-06-24,5933,0.3,0.31227908406331645,75
2023-06-25,5936,0.30745341614906835,0.32654709969300372,99
2023-06-26,6031,0.35209003215434082,0.32378540908371578,219
2023-06-27,6000,0.36376604850213978,0.317550894509562,255
2023-06-28,6017,0.36445783132530118,0.31453329279416237,242
2023-06-29,5996,0.33547351524879615,0.31784471015589527,209
2023-06-30,6004,0.31692913385826771,0.32200548613227675,161
2023-07-01,6007,0.31601731601731603,0.33460196638122425,73
2023-07-02,6029,0.30930930930930933,0.33584,103
2023-07-03,6116,0.31525423728813562,0.32107804954042685,186
2023-07-04,6246,0.3089983022071307,0.30800665960345086,182
2023-07-05,6334,0.27777777777777779,0.29562098341055149,175
2023-07-06,6471,0.23763955342902712,0.28540017590149519,149
2023-07-07,6541,0.25056433408577877,0.28244051963217048,111
2023-07-08,6614,0.29078014184397161,0.28745236001172675,82
2023-07-09,6737,0.31367292225201071,0.28928260238164394,117
2023-07-10,6900,0.20344287949921752,0.28599357631615696,130
2023-07-11,7033,0.19713831478537361,0.28297037738401193,124
2023-07-12,7176,0.23966942148760331,0.28261159227181881,145
2023-07-13,7346,0.22838499184339314,0.28222860125260962,140
2023-07-14,7421,0.25604838709677419,0.28283870967741936,127
2023-07-15,7412,0.27125506072874495,0.28261434511434513,67
2023-07-16,7412,0.27793696275071633,0.28048305414881186,97
2023-07-17,7406,0.23826086956521739,0.271882951653944,137
2023-07-18,7461,0.21202531645569619,0.26944099378881986,134
2023-07-19,7519,0.21469740634005763,0.2767527675276753,149
2023-07-20,7559,0.26158940397350994,0.27774364016222197,158
2023-07-21,7608,0.29938900203665986,0.27936821322803551,147
2023-07-22,7614,0.27380952380952384,0.28627105858687452,69
2023-07-23,7654,0.296,0.28891405561847239,111
2023-07-24,7709,0.16307692307692306,0.286484499448597,106
2023-07-25,7696,0.18330605564648117,0.27742246892723543,112
2023-07-26,7672,0.17045454545454544,0.26460315548596891,105
2023-07-27,7686,0.18380062305295949,0.262297053517739,118
2023-07-28,7702,0.26377952755905509,0.26606621226874394,134
2023-07-29,7749,0.35384615384615387,0.27461204220980756,92
2023-07-30,7747,0.28173374613003094,0.27198007471980074,91
2023-07-31,7720,0.21739130434782608,0.2599437033410843,115
2023-08-01,7723,0.18790849673202614,0.25304253524521025,115
2023-08-02,7760,0.23037542662116042,0.25195429945880937,135
2023-08-03,7765,0.22300884955752212,0.24783445620789221,126
2023-08-04,7778,0.28421052631578947,0.24571773220747889,135
2023-08-05,7832,0.32415902140672781,0.25204442817038936,106
2023-08-06,7813,0.32105263157894737,0.25469728601252611,122
2023-08-07,7797,0.19604612850082373,0.25222837870392678,119
2023-08-08,7786,0.228310502283105,0.25124851367419737,150
2023-08-09,7769,0.25185185185185183,0.25282839109205668,170
2023-08-10,7721,0.27065527065527067,0.2585196699748894,190
2023-08-11,7680,0.29090909090909089,0.25881642512077296,144
2023-08-12,7705,0.35338345864661652,0.26009412930393855,94
2023-08-13,7688,0.32537313432835818,0.2596455950735202,109
2023-08-14,7643,0.28469750889679718,0.24922658086870436,160
2023-08-15,7549,0.24684684684684685,0.24048929663608562,137
2023-08-16,7459,0.14168039538714991,0.23929747530186607,86
2023-08-17,7395,0.23424878836833601,0.23665436654366542,145
2023-08-18,7338,0.24943310657596371,0.23874952729106266,110
2023-08-19,7349,0.27046263345195731,0.24831954498448811,76
2023-08-20,7335,0.27575757575757576,0.25326882845188287,91
2023-08-21,7287,0.14,0.253974358974359,84
2023-08-22,7274,0.20875420875420875,0.25549381156857792,124
2023-08-23,7195,0.14285714285714285,0.25488443366109054,70
2023-08-24,7145,0.20106761565836298,0.25462962962962965,113
2023-08-25,7094,0.24759615384615385,0.25788303022373416,103
2023-08-26,7050,0.31336405529953915,0.26241421073879695,68
2023-08-27,7042,0.29166666666666669,0.26472995090016366,91
2023-08-28,7033,0.18552875695732837,0.25786079011018542,100
2023-08-29,7025,0.18867924528301888,0.25138121546961328,110
2023-08-30,7001,0.15752212389380532,0.25695818493602429,89
2023-08-31,6984,0.20976491862567812,0.2600635593220339,116
2023-09-01,6938,0.25925925925925924,0.26045703594814912,112
2023-09-02,6881,0.29441624365482233,0.26646542261251371,58
2023-09-03,6857,0.27758007117437722,0.26829606999027911,78
2023-09-04,6822,0.16739130434782609,0.26075010303613133,77
2023-09-05,6812,0.17679558011049723,0.25436341496414561,96
2023-09-06,6816,0.16887417218543047,0.26060524182653338,102
2023-09-07,6768,0.1860036832412523,0.25888256034716572,101
2023-09-08,6775,0.26470588235294118,0.26157628739243272,126
2023-09-09,6786,0.30543933054393307,0.27057006458859872,73
2023-09-10,6810,0.26045016077170419,0.27551454932576297,81
2023-09-11,6889,0.19636963696369636,0.2795476486001931,119
2023-09-12,6881,0.21102661596958175,0.27111050773825685,111
2023-09-13,6895,0.23076923076923078,0.27031754574811623,132
2023-09-14,6910,0.78510998307952617,0.27649028801071668,464
2023-09-15,6945,0.78125,0.27938993116479954,375
2023-09-16,6930,0.74103585657370519,0.28475182180668224,186
2023-09-17,6973,0.77873563218390807,0.28841118919663772,271
2023-09-18,6988,0.76175548589341691,0.28117425262590895,486
2023-09-19,6959,0.77894736842105261,0.28153927532398837,444
2023-09-20,7033,0.76480263157894735,0.2809655718242976,465
2023-09-21,7104,0.77408637873754149,0.28368794326241137,466
2023-09-22,7150,0.73776908023483367,0.28440726702391844,377
2023-09-23,7150,0.77689243027888444,0.29059829059829062,195
2023-09-24,7124,0.78431372549019607,0.28920377867746289,240
2023-09-25,7187,0.78842975206611565,0.28058405682715076,477
2023-09-26,7260,0.79059180576631261,0.28121788283658788,521
2023-09-27,7288,0.770764119601329,0.28021978021978022,464
2023-09-28,7318,0.77289377289377292,0.27518490181076255,422
2023-09-29,7366,0.78969072164948451,0.27375940808776628,383
2023-09-30,7384,0.76923076923076927,0.277900194426442,200
2023-10-01,7402,0.76393442622950825,0.28116017768487067,233
2023-10-02,7442,0.79096045197740117,0.26963988209662948,420
2023-10-03,7440,0.80839416058394165,0.25282592313489072,443
2023-10-04,7451,0.78983050847457625,0.250592490956717,466
2023-10-05,7431,0.76402321083172142,0.24862155388471177,395
2023-10-06,7417,0.74743326488706363,0.24987399193548387,364
2023-10-07,7459,0.76949152542372878,0.2592403120603658,227
2023-10-08,7456,0.75415282392026584,0.26177536231884058,227
2023-10-09,7458,0.78354203935599287,0.26038116874921113,438
2023-10-10,7532,0.81986531986531985,0.26144920380199976,487
2023-10-11,7522,0.78350515463917525,0.26437492271546925,532
2023-10-12,7552,0.77621283255086071,0.27127985303123087,496
2023-10-13,7568,0.75746924428822493,0.27554789460723961,431
2023-10-14,7616,0.75,0.27964402105790925,222
2023-10-15,7643,0.76978417266187049,0.28927806475998485,321
2023-10-16,7630,0.7588325652841782,0.28413284132841327,494
2023-10-17,7643,0.75846833578792339,0.28394612304332,515
2023-10-18,7635,0.7720706260032103,0.28158757130719747,481
2023-10-19,7641,0.78419452887538,0.27875196517112105,516
2023-10-20,7641,0.76243093922651939,0.27918038785217708,414
2023-10-21,7659,0.75735294117647056,0.2829601990049751,206
2023-10-22,7702,0.79591836734693877,0.2840837827668381,312
2023-10-23,7669,0.804159445407279,0.27306273062730629,464
2023-10-24,7680,0.79420731707317072,0.2717339097022094,521
2023-10-25,7683,0.77373417721518989,0.2740170734639894,489
2023-10-26,7718,0.77674418604651163,0.27256295939269792,501
2023-10-27,7726,0.759765625,0.27421903488513433,389
2023-10-28,7741,0.81597222222222221,0.28026185770750989,235
2023-10-29,7747,0.76010781671159033,0.27763913151984027,282
2023-10-30,7803,0.771875,0.27566841655475521,494
2023-10-31,7881,0.78148710166919577,0.26531343283582087,515
2023-11-01,7831,0.80066445182724255,0.26127954165671996,482
2023-11-02,7863,0.77272727272727271,0.256522770398482,442
2023-11-03,7892,0.775390625,0.25993081235834425,397
2023-11-04,7884,0.74264705882352944,0.26234269119070669,202
2023-11-05,7941,0.78048780487804881,0.26720893529197526,288
2023-11-06,7960,0.79937791601866248,0.26224441274369947,514
2023-11-07,8017,0.812960235640648,0.26051103368176537,552
2023-11-08,8047,0.82614942528735635,0.26796856944765424,575
2023-11-09,8045,0.75903614457831325,0.27511769433918937,504
2023-11-10,8035,0.764,0.274092905015022,382
2023-11-11,8009,0.742671009771987,0.28103877623621487,228
2023-11-12,7998,0.7686170212765957,0.27880818475529495,289
2023-11-13,7923,0.7988826815642458,0.26828115770821026,429
2023-11-14,7839,0.80467445742904842,0.25983046856604664,482
2023-11-15,7882,0.785483870967742,0.2577683615819209,487
2023-11-16,7910,0.84466019417475724,0.25529162746942613,522
2023-11-17,7897,0.77844311377245512,0.25722748815165875,390
2023-11-18,7889,0.7385159010600707,0.26329175245246456,209
2023-11-19,7855,0.82913165266106448,0.26571463444403759,296
2023-11-20,7860,0.820738137082601,0.26400862068965519,467
2023-11-21,7837,0.80036297640653353,0.25952211970664774,441
2023-11-22,7871,0.80840336134453783,0.25794678596656462,481
2023-11-23,7861,0.7931034482758621,0.25041577571869805,391
2023-11-24,7782,0.78696741854636587,0.24946030223075077,314
2023-11-25,7808,0.788961038961039,0.25515651540888135,243
2023-11-26,7844,0.75916230366492143,0.2592274678111588,290
2023-11-27,7863,0.82440476190476186,0.25925482209176948,554
2023-11-28,8198,0.65546218487394958,0.28597326082030367,624
2023-11-29,8290,0.77291960507757407,0.29240292628024761,548
2023-11-30,8295,0.78792822185970635,0.30131741920954846,483
2023-12-01,8260,0.74901185770750989,0.30616864742501415,379
2023-12-02,8279,0.761744966442953,0.30967964174991386,227
2023-12-03,8244,0.7769028871391076,0.31100034774545032,296
2023-12-04,8241,0.7969465648854962,0.305331362964647,522
2023-12-05,8279,0.8197932053175776,0.26949798296727923,555
2023-12-06,8229,0.785829307568438,0.26193693693693693,488
2023-12-07,8209,0.77832512315270941,0.25949651607102719,474
2023-12-08,8267,0.77372262773722633,0.26516267996825754,424
2023-12-09,8407,0.71219512195121948,0.27937814357567442,292
2023-12-10,8538,0.71031746031746035,0.28703913141823117,358
2023-12-11,8617,0.84843982169390786,0.28313518273888155,571
2023-12-12,8744,0.78441558441558445,0.28196053196053195,604
2023-12-13,8768,0.79248120300751879,0.28533247808424206,527
2023-12-14,8743,0.768033946251768,0.28687299893276413,543
2023-12-15,8724,0.78251121076233188,0.28449946178686758,349
2023-12-16,8692,0.7846153846153846,0.27786948387806759,204
2023-12-17,8651,0.77945619335347427,0.26466666666666666,258
2023-12-18,8675,0.77147487844408424,0.25568430257979885,476
2023-12-19,8744,0.76766091051805341,0.23933369156367545,489
2023-12-20,8714,0.75818181818181818,0.23411802644308288,417
2023-12-21,8685,0.776937618147448,0.22366288492706646,411
2023-12-22,8686,0.74193548387096775,0.22087431693989071,276
2023-12-23,8624,0.76960784313725494,0.22250639386189258,157
2023-12-24,8548,0.77391304347826084,0.21848362494392104,178
2023-12-25,8363,0.77031802120141346,0.19695945945945945,218
2023-12-26,7929,0.75668449197860965,0.17987633501967398,283
2023-12-27,7758,0.79432624113475181,0.17112299465240641,336
2023-12-28,7697,0.79732739420935417,0.17797619047619048,358
2023-12-29,7656,0.7532133676092545,0.18496478017974252,293
2023-12-30,7661,0.77902621722846443,0.19104884701214978,208
