sex,body_mass_g,culmen_length_mm,culmen_depth_mm,id,flipper_length_mm,island,species
MALE,3750,39.1,18.7,1,181,Torgersen,Adelie
FEMALE,3800,39.5,17.4,2,186,Torgersen,Adelie
FEMALE,3250,40.3,18,3,195,Torgersen,Adelie
,,,,4,,Torgersen,Adelie
FEMALE,3450,36.7,19.3,5,193,Torgersen,Adelie
MALE,3650,39.3,20.6,6,190,Torgersen,Adelie
FEMALE,3625,38.9,17.8,7,181,Torgersen,Adelie
MALE,4675,39.2,19.6,8,195,Torgersen,Adelie
,3475,34.1,18.1,9,193,Torgersen,Adelie
,4250,42,20.2,10,190,Torgersen,Adelie
,3300,37.8,17.1,11,186,Torgersen,Adelie
,3700,37.8,17.3,12,180,Torgersen,Adelie
FEMALE,3200,41.1,17.6,13,182,Torgersen,Adelie
MALE,3800,38.6,21.2,14,191,Torgersen,Adelie
MALE,4400,34.6,21.1,15,198,Torgersen,Adelie
FEMALE,3700,36.6,17.8,16,185,Torgersen,Adelie
FEMALE,3450,38.7,19,17,195,Torgersen,Adelie
MALE,4500,42.5,20.7,18,197,Torgersen,Adelie
FEMALE,3325,34.4,18.4,19,184,Torgersen,Adelie
MALE,4200,46,21.5,20,194,Torgersen,Adelie
FEMALE,3400,37.8,18.3,21,174,Biscoe,Adelie
MALE,3600,37.7,18.7,22,180,Biscoe,Adelie
FEMALE,3800,35.9,19.2,23,189,Biscoe,Adelie
MALE,3950,38.2,18.1,24,185,Biscoe,Adelie
MALE,3800,38.8,17.2,25,180,Biscoe,Adelie
FEMALE,3800,35.3,18.9,26,187,Biscoe,Adelie
MALE,3550,40.6,18.6,27,183,Biscoe,Adelie
FEMALE,3200,40.5,17.9,28,187,Biscoe,Adelie
FEMALE,3150,37.9,18.6,29,172,Biscoe,Adelie
MALE,3950,40.5,18.9,30,180,Biscoe,Adelie
FEMALE,3250,39.5,16.7,31,178,Dream,Adelie
MALE,3900,37.2,18.1,32,178,Dream,Adelie
FEMALE,3300,39.5,17.8,33,188,Dream,Adelie
MALE,3900,40.9,18.9,34,184,Dream,Adelie
FEMALE,3325,36.4,17,35,195,Dream,Adelie
MALE,4150,39.2,21.1,36,196,Dream,Adelie
MALE,3950,38.8,20,37,190,Dream,Adelie
FEMALE,3550,42.2,18.5,38,180,Dream,Adelie
FEMALE,3300,37.6,19.3,39,181,Dream,Adelie
MALE,4650,39.8,19.1,40,184,Dream,Adelie
FEMALE,3150,36.5,18,41,182,Dream,Adelie
MALE,3900,40.8,18.4,42,195,Dream,Adelie
FEMALE,3100,36,18.5,43,186,Dream,Adelie
MALE,4400,44.1,19.7,44,196,Dream,Adelie
FEMALE,3000,37,16.9,45,185,Dream,Adelie
MALE,4600,39.6,18.8,46,190,Dream,Adelie
MALE,3425,41.1,19,47,182,Dream,Adelie
,2975,37.5,18.9,48,179,Dream,Adelie
FEMALE,3450,36,17.9,49,190,Dream,Adelie
MALE,4150,42.3,21.2,50,191,Dream,Adelie
FEMALE,3500,39.6,17.7,51,186,Biscoe,Adelie
MALE,4300,40.1,18.9,52,188,Biscoe,Adelie
FEMALE,3450,35,17.9,53,190,Biscoe,Adelie
MALE,4050,42,19.5,54,200,Biscoe,Adelie
FEMALE,2900,34.5,18.1,55,187,Biscoe,Adelie
MALE,3700,41.4,18.6,56,191,Biscoe,Adelie
FEMALE,3550,39,17.5,57,186,Biscoe,Adelie
MALE,3800,40.6,18.8,58,193,Biscoe,Adelie
FEMALE,2850,36.5,16.6,59,181,Biscoe,Adelie
MALE,3750,37.6,19.1,60,194,Biscoe,Adelie
FEMALE,3150,35.7,16.9,61,185,Biscoe,Adelie
MALE,4400,41.3,21.1,62,195,Biscoe,Adelie
FEMALE,3600,37.6,17,63,185,Biscoe,Adelie
MALE,4050,41.1,18.2,64,192,Biscoe,Adelie
FEMALE,2850,36.4,17.1,65,184,Biscoe,Adelie
MALE,3950,41.6,18,66,192,Biscoe,Adelie
FEMALE,3350,35.5,16.2,67,195,Biscoe,Adelie
MALE,4100,41.1,19.1,68,188,Biscoe,Adelie
FEMALE,3050,35.9,16.6,69,190,Torgersen,Adelie
MALE,4450,41.8,19.4,70,198,Torgersen,Adelie
FEMALE,3600,33.5,19,71,190,Torgersen,Adelie
MALE,3900,39.7,18.4,72,190,Torgersen,Adelie
FEMALE,3550,39.6,17.2,73,196,Torgersen,Adelie
MALE,4150,45.8,18.9,74,197,Torgersen,Adelie
FEMALE,3700,35.5,17.5,75,190,Torgersen,Adelie
MALE,4250,42.8,18.5,76,195,Torgersen,Adelie
FEMALE,3700,40.9,16.8,77,191,Torgersen,Adelie
MALE,3900,37.2,19.4,78,184,Torgersen,Adelie
FEMALE,3550,36.2,16.1,79,187,Torgersen,Adelie
MALE,4000,42.1,19.1,80,195,Torgersen,Adelie
FEMALE,3200,34.6,17.2,81,189,Torgersen,Adelie
MALE,4700,42.9,17.6,82,196,Torgersen,Adelie
FEMALE,3800,36.7,18.8,83,187,Torgersen,Adelie
MALE,4200,35.1,19.4,84,193,Torgersen,Adelie
FEMALE,3350,37.3,17.8,85,191,Dream,Adelie
MALE,3550,41.3,20.3,86,194,Dream,Adelie
MALE,3800,36.3,19.5,87,190,Dream,Adelie
FEMALE,3500,36.9,18.6,88,189,Dream,Adelie
MALE,3950,38.3,19.2,89,189,Dream,Adelie
FEMALE,3600,38.9,18.8,90,190,Dream,Adelie
FEMALE,3550,35.7,18,91,202,Dream,Adelie
MALE,4300,41.1,18.1,92,205,Dream,Adelie
FEMALE,3400,34,17.1,93,185,Dream,Adelie
MALE,4450,39.6,18.1,94,186,Dream,Adelie
FEMALE,3300,36.2,17.3,95,187,Dream,Adelie
MALE,4300,40.8,18.9,96,208,Dream,Adelie
FEMALE,3700,38.1,18.6,97,190,Dream,Adelie
MALE,4350,40.3,18.5,98,196,Dream,Adelie
FEMALE,2900,33.1,16.1,99,178,Dream,Adelie
MALE,4100,43.2,18.5,100,192,Dream,Adelie
FEMALE,3725,35,17.9,101,192,Biscoe,Adelie
MALE,4725,41,20,102,203,Biscoe,Adelie
FEMALE,3075,37.7,16,103,183,Biscoe,Adelie
MALE,4250,37.8,20,104,190,Biscoe,Adelie
FEMALE,2925,37.9,18.6,105,193,Biscoe,Adelie
MALE,3550,39.7,18.9,106,184,Biscoe,Adelie
FEMALE,3750,38.6,17.2,107,199,Biscoe,Adelie
MALE,3900,38.2,20,108,190,Biscoe,Adelie
FEMALE,3175,38.1,17,109,181,Biscoe,Adelie
MALE,4775,43.2,19,110,197,Biscoe,Adelie
FEMALE,3825,38.1,16.5,111,198,Biscoe,Adelie
MALE,4600,45.6,20.3,112,191,Biscoe,Adelie
FEMALE,3200,39.7,17.7,113,193,Biscoe,Adelie
MALE,4275,42.2,19.5,114,197,Biscoe,Adelie
FEMALE,3900,39.6,20.7,115,191,Biscoe,Adelie
MALE,4075,42.7,18.3,116,196,Biscoe,Adelie
FEMALE,2900,38.6,17,117,188,Torgersen,Adelie
MALE,3775,37.3,20.5,118,199,Torgersen,Adelie
FEMALE,3350,35.7,17,119,189,Torgersen,Adelie
MALE,3325,41.1,18.6,120,189,Torgersen,Adelie
FEMALE,3150,36.2,17.2,121,187,Torgersen,Adelie
MALE,3500,37.7,19.8,122,198,Torgersen,Adelie
FEMALE,3450,40.2,17,123,176,Torgersen,Adelie
MALE,3875,41.4,18.5,124,202,Torgersen,Adelie
FEMALE,3050,35.2,15.9,125,186,Torgersen,Adelie
MALE,4000,40.6,19,126,199,Torgersen,Adelie
FEMALE,3275,38.8,17.6,127,191,Torgersen,Adelie
MALE,4300,41.5,18.3,128,195,Torgersen,Adelie
FEMALE,3050,39,17.1,129,191,Torgersen,Adelie
MALE,4000,44.1,18,130,210,Torgersen,Adelie
FEMALE,3325,38.5,17.9,131,190,Torgersen,Adelie
MALE,3500,43.1,19.2,132,197,Torgersen,Adelie
FEMALE,3500,36.8,18.5,133,193,Dream,Adelie
MALE,4475,37.5,18.5,134,199,Dream,Adelie
FEMALE,3425,38.1,17.6,135,187,Dream,Adelie
MALE,3900,41.1,17.5,136,190,Dream,Adelie
FEMALE,3175,35.6,17.5,137,191,Dream,Adelie
MALE,3975,40.2,20.1,138,200,Dream,Adelie
FEMALE,3400,37,16.5,139,185,Dream,Adelie
MALE,4250,39.7,17.9,140,193,Dream,Adelie
FEMALE,3400,40.2,17.1,141,193,Dream,Adelie
MALE,3475,40.6,17.2,142,187,Dream,Adelie
FEMALE,3050,32.1,15.5,143,188,Dream,Adelie
MALE,3725,40.7,17,144,190,Dream,Adelie
FEMALE,3000,37.3,16.8,145,192,Dream,Adelie
MALE,3650,39,18.7,146,185,Dream,Adelie
MALE,4250,39.2,18.6,147,190,Dream,Adelie
FEMALE,3475,36.6,18.4,148,184,Dream,Adelie
FEMALE,3450,36,17.8,149,195,Dream,Adelie
MALE,3750,37.8,18.1,150,193,Dream,Adelie
FEMALE,3700,36,17.1,151,187,Dream,Adelie
