date,count,response_code
2024-06-16,230,200
2024-06-16,12,503
2024-06-16,7,404
2024-06-17,209,200
2024-06-17,12,404
2024-06-17,10,503
2024-06-18,210,200
2024-06-18,16,404
2024-06-18,4,503
2024-06-19,220,200
2024-06-19,11,404
2024-06-19,5,503
2024-06-20,211,200
2024-06-20,15,404
2024-06-20,4,503
2024-06-21,210,200
2024-06-21,12,404
2024-06-21,8,503
2024-06-22,211,200
2024-06-22,10,503
2024-06-22,8,404
2024-06-23,219,200
2024-06-23,9,404
2024-06-23,3,503
2024-06-24,211,200
2024-06-24,12,404
2024-06-24,7,503
2024-06-25,208,200
2024-06-25,11,404
2024-06-25,11,503
2024-06-26,222,200
2024-06-26,7,503
2024-06-26,1,404
2024-06-27,209,200
2024-06-27,13,503
2024-06-27,8,404
2024-06-28,203,200
2024-06-28,18,404
2024-06-28,9,503
2024-06-29,216,200
2024-06-29,8,404
2024-06-29,6,503
2024-06-30,214,200
2024-06-30,10,404
2024-06-30,6,503
2024-07-01,212,200
2024-07-01,12,404
2024-07-01,6,503
2024-07-02,215,200
2024-07-02,12,404
2024-07-02,3,503
2024-07-03,212,200
2024-07-03,11,404
2024-07-03,6,503
2024-07-04,210,200
2024-07-04,14,404
2024-07-04,7,503
2024-07-05,211,200
2024-07-05,14,404
2024-07-05,5,503
2024-07-06,196,200
2024-07-06,32,404
2024-07-06,2,503
2024-07-07,205,200
2024-07-07,17,404
2024-07-07,8,503
2024-07-08,204,200
2024-07-08,14,404
2024-07-08,12,503
2024-07-09,202,200
2024-07-09,17,404
2024-07-09,11,503
2024-07-10,214,200
2024-07-10,10,503
2024-07-10,6,404
2024-07-11,206,200
2024-07-11,13,404
2024-07-11,11,503
2024-07-12,218,200
2024-07-12,6,404
2024-07-12,6,503
2024-07-13,216,200
2024-07-13,10,404
2024-07-13,4,503
2024-07-14,216,200
2024-07-14,7,404
2024-07-14,6,503
2024-07-15,218,200
2024-07-15,12,404
2024-07-15,1,503
2024-07-16,162,200
2024-07-16,7,404
2024-07-16,4,503
2024-07-17,211,200
2024-07-17,14,404
2024-07-17,5,503
2024-07-18,214,200
2024-07-18,9,404
2024-07-18,7,503
2024-07-19,213,200
2024-07-19,9,404
2024-07-19,8,503
2024-07-20,212,200
2024-07-20,10,404
2024-07-20,7,503
2024-07-21,203,200
2024-07-21,21,404
2024-07-21,7,503
2024-07-22,215,200
2024-07-22,8,503
2024-07-22,7,404
2024-07-23,208,200
2024-07-23,17,404
2024-07-23,4,503
2024-07-24,212,200
2024-07-24,13,404
2024-07-24,6,503
2024-07-25,211,200
2024-07-25,13,404
2024-07-25,6,503
2024-07-26,213,200
2024-07-26,9,404
2024-07-26,8,503
2024-07-27,210,200
2024-07-27,110,404
2024-07-27,9,503
2024-07-28,217,200
2024-07-28,8,404
2024-07-28,6,503
2024-07-29,200,200
2024-07-29,17,404
2024-07-29,13,503
2024-07-30,215,200
2024-07-30,12,404
2024-07-30,3,503
2024-07-31,212,200
2024-07-31,11,404
2024-07-31,7,503
2024-08-01,206,200
2024-08-01,13,503
2024-08-01,11,404
2024-08-02,216,200
2024-08-02,7,404
2024-08-02,7,503
2024-08-03,214,200
2024-08-03,14,404
2024-08-03,2,503
2024-08-04,213,200
2024-08-04,13,503
2024-08-04,4,404
2024-08-05,212,200
2024-08-05,9,404
2024-08-05,9,503
2024-08-06,211,200
2024-08-06,11,503
2024-08-06,8,404
2024-08-07,210,200
2024-08-07,13,404
2024-08-07,7,503
2024-08-08,206,200
2024-08-08,16,404
2024-08-08,8,503
2024-08-09,211,200
2024-08-09,13,404
2024-08-09,6,503
2024-08-10,212,200
2024-08-10,13,404
2024-08-10,5,503
2024-08-11,208,200
2024-08-11,12,404
2024-08-11,10,503
2024-08-12,210,200
2024-08-12,10,404
2024-08-12,10,503
2024-08-13,213,200
2024-08-13,9,503
2024-08-13,8,404
2024-08-14,210,200
2024-08-14,13,404
2024-08-14,7,503
2024-08-15,194,200
2024-08-15,8,404
2024-08-15,3,503
