State	Capital	Since	Area	Population	MSA/µSA	CSA	Rank
Alabama	Montgomery	1846-01-01	159.8	198525	373290	461516	3
Alaska	Juneau	1906-01-01	2716.7	32113	32113		3
Arizona	Phoenix	1912-01-01	517.6	1680992	4948203	5002221	1
Arkansas	Little Rock	1821-01-01	116.2	197312	742384	908941	1
California	Sacramento	1854-01-01	97.9	513624	2363730	2639124	6
Colorado	Denver	1867-01-01	153.3	727211	2967239	3617927	1
Connecticut	Hartford	1875-01-01	17.3	122105	1204877	1470083	3
Delaware	Dover	1777-01-01	22.4	38079	180786	7209620	2
Florida	Tallahassee	1824-01-01	95.7	194500	387227		7
Georgia	Atlanta	1868-01-01	133.5	506811	6020364	6853392	1
Hawaii	Honolulu	1845-01-01	68.4	345064	974563		1
Idaho	Boise	1865-01-01	63.8	228959	749202	831235	1
Illinois	Springfield	1837-01-01	54.0	114230	206868	306399	6
Indiana	Indianapolis	1825-01-01	361.5	876384	2074537	2457286	1
Iowa	Des Moines	1857-01-01	75.8	214237	699292	877991	1
Kansas	Topeka	1856-01-01	56.0	125310	231969		4
Kentucky	Frankfort	1792-01-01	14.7	27679	73663	745033	15
Louisiana	Baton Rouge	1880-01-01	76.8	220236	854884		2
Maine	Augusta	1832-01-01	55.4	18681	122302		8
Maryland	Annapolis	1694-01-01	6.73	39174	2800053	9814928	7
Massachusetts	Boston	1630-01-01	89.6	692600	4873019	8287710	1
Michigan	Lansing	1847-01-01	35.0	118210	550391		5
Minnesota	Saint Paul	1849-01-01	52.8	308096	3654908	4027861	2
Mississippi	Jackson	1821-01-01	104.9	160628	594806	674340	1
Missouri	Jefferson City	1826-01-01	27.3	42838	151235		15
Montana	Helena	1875-01-01	14.0	32315	77414		6
Nebraska	Lincoln	1867-01-01	74.6	289102	336374	357887	2
Nevada	Carson City	1861-01-01	143.4	55916	55916	637973	6
New Hampshire	Concord	1808-01-01	64.3	43627	151391	8287710	3
New Jersey	Trenton	1784-01-01	7.66	83203	367430	22589036	10
New Mexico	Santa Fe	1610-01-01	37.3	84683	150358	1158464	4
New York	Albany	1797-01-01	21.4	96460	880381	1167594	6
North Carolina	Raleigh	1792-01-01	114.6	474069	1390785	2079687	2
North Dakota	Bismarck	1883-01-01	26.9	73529	128949		2
Ohio	Columbus	1816-01-01	210.3	898553	2122271	2525639	1
Oklahoma	Oklahoma City	1910-01-01	620.3	655057	1408950	1481542	1
Oregon	Salem	1855-01-01	45.7	174365	433903	3259710	3
Pennsylvania	Harrisburg	1812-01-01	8.11	49528	577941	1271801	9
Rhode Island	Providence	1900-01-01	18.5	179883	1624578	8287710	1
South Carolina	Columbia	1786-01-01	125.2	131674	838433	963048	2
South Dakota	Pierre	1889-01-01	13.0	13646	20672		8
Tennessee	Nashville	1826-01-01	525.9	670820	1934317	2062547	1
Texas	Austin	1839-01-01	305.1	978908	2227083		4
Utah	Salt Lake City	1858-01-01	109.1	200567	1232696	2641048	1
Vermont	Montpelier	1805-01-01	10.2	7855			6
Virginia	Richmond	1780-01-01	60.1	230436	1291900		4
Washington	Olympia	1853-01-01	16.7	46478	290536	4903675	24
West Virginia	Charleston	1885-01-01	31.6	46536	257074	776694	1
Wisconsin	Madison	1838-01-01	68.7	259680	664865	892661	2
Wyoming	Cheyenne	1869-01-01	21.1	64235	99500		1
